Year,Month,total_fires,total_acres,median_monthly_duration,total_deaths
2008,4,2,1353.0,3,0
2008,5,4,34870.0,4,0
2008,6,57,1879198.0,10,33
2008,7,59,120678.0,15,0
2008,8,13,0.0,31,0
2008,9,9,18107.0,15,0
2008,10,4,0.0,30,0
2008,11,2,0.0,13,0
2009,5,2,9471.0,5,0
2009,6,7,12912.0,2,0
2009,7,8,7385.0,21,0
2009,8,15,342537.0,9,4
2009,9,10,17500.0,6,0
2009,10,2,0.0,8,0
2010,7,8,71690.0,5,0
2010,8,12,5848.0,10,0
2010,9,5,0.0,30,0
2010,10,4,0.0,27,0
2011,5,1,1122.0,5,0
2011,6,2,1213.0,3,0
2011,7,5,90431.0,17,0
2011,8,7,13656.0,31,0
2011,9,11,5442.0,18,0
2011,10,8,0.0,14,0
2011,11,3,0.0,11,0
2011,12,1,0.0,31,0
2012,1,1,342.0,4,0
2012,6,1,8525.0,13,0
2012,7,4,104096.0,6,0
2012,8,9,140229.0,21,0
2012,9,7,351.0,15,0
2012,10,3,0.0,16,0
2012,11,1,0.0,26,0
2013,2,1,300.0,1,0
2013,3,1,0.0,2,0
2013,5,2,32258.0,3,0
2013,6,4,16014.0,7,0
2013,7,5,158299.0,3,0
2013,8,8,543056.0,18,0
2013,9,7,0.0,30,0
2013,10,5,0.0,15,0
2014,1,1,4836.0,18,0
2014,2,1,0.0,28,0
2014,3,1,0.0,31,0
2014,4,2,2200.0,10,0
2014,5,2,677.0,3,0
2014,6,1,0.0,4,0
2014,7,13,178854.0,2,0
2014,8,16,322926.0,18,0
2014,9,5,97717.0,25,0
2014,10,2,0.0,20,0
2015,4,1,2025.0,2,0
2015,5,1,0.0,5,0
2015,6,1,31359.0,14,0
2015,7,15,1337338.0,2,1
2015,8,17,68787.0,29,0
2015,9,10,146935.0,26,6
2015,10,6,0.0,15,0
2015,11,1,0.0,30,0
2015,12,1,0.0,1,0
2016,6,10,91183.0,7,5
2016,7,13,440005.0,9,4
2016,8,17,186117.0,14,0
2016,9,21,23115.0,14,0
2016,10,13,8209.0,13,0
2016,11,4,0.0,6,0
2017,4,1,1350.0,1,0
2017,5,1,0.0,2,0
2017,6,6,35891.0,3,0
2017,7,16,334924.0,3,0
2017,8,26,619057.0,9,1
2017,9,26,73665.0,25,0
2017,10,21,9366.0,20,0
2017,11,8,0.0,23,0
2017,12,1,0.0,28,0
2018,1,1,281893.0,12,2
2018,6,5,133351.0,8,0
2018,7,15,1098817.0,5,17
2018,8,14,181363.0,17,0
2018,9,7,63311.0,14,0
2018,10,5,12398.0,19,0
2018,11,4,153336.0,26,85
2018,12,3,0.0,22,0
2019,5,1,2924.0,9,0
2019,6,3,1001.0,22,0
2019,7,8,35361.0,5,0
2019,8,9,4517.0,8,0
2019,9,9,32803.0,26,0
2019,10,11,92208.0,5,0
2019,11,9,3126.0,8,0
2019,12,1,0.0,13,0
2020,5,1,1395.0,1,0
2020,6,1,0.0,5,0
2020,7,7,881451.0,8,0
2020,8,30,5593836.0,15,58
2020,9,36,1878959.0,25,10
2020,10,25,26734.0,31,0
2020,11,20,0.0,17,0
2020,12,5,0.0,31,0
2021,1,1,875095.0,7,0
2021,4,1,650.0,3,0
2021,5,2,1118.0,2,0
2021,6,9,111825.0,6,0
2021,7,19,5643351.0,11,0
2021,8,23,813835.0,27,0
2021,9,22,468555.0,26,0
2021,10,15,16970.0,21,0
2021,11,5,0.0,11,0
2021,12,1,0.0,17,0
2022,1,1,687.0,11,0
2022,2,1,0.0,2,0
2022,5,1,570.0,1,0
2022,6,4,1608.0,3,0
2022,7,4,38488.0,4,0
2022,8,3,9664.0,1,0
2022,9,5,90228.0,6,0
2022,10,2,0.0,26,0
