County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
INYO,WINTERTON,2011-03-09,2011-03-09,395,0,0,0,0,1.0
INYO,CENTER,2011-03-18,2011-03-23,850,19,0,0,0,6.0
MONTEREY,METZ,2011-05-12,2011-05-14,832,0,0,0,0,3.0
MONTEREY,CATTLEMAN,2011-05-29,2011-05-30,382,0,0,0,0,2.0
KERN,IKEA,2011-06-12,2011-06-12,640,0,0,0,0,1.0
KERN,ANTELOPE,2011-06-19,2011-06-21,"5,200",2,0,0,0,3.0
KERN,QUINN,2011-06-21,2011-06-22,"3,154",0,0,0,0,2.0
STANISLAUS,EASTMAN,2011-06-24,2011-06-24,330,0,0,0,0,1.0
"SAN LUIS
OBISPO",HIGHWAY,2011-06-24,2011-06-24,387,0,0,0,0,1.0
MERCED,REST,2011-06-26,2011-06-27,575,0,0,0,0,2.0
TULARE,STAGE,2011-06-27,2011-07-02,"1,213",0,0,0,0,6.0
HUMBOLDT,SPANISH,2011-07-01,2011-07-04,498,0,0,0,0,4.0
SAN JOAQUIN,CHRISMAN,2011-07-05,2011-07-06,400,0,0,0,0,2.0
ORANGE,"CARBON
CANYON",2011-07-07,2011-07-08,508,0,0,0,0,2.0
TULARE,GRANITE,2011-07-09,2011-07-12,780,7,0,0,0,4.0
YUBA,KRISTA,2011-07-09,2011-07-10,360,0,0,0,0,2.0
ALAMEDA,FLYNN,2011-07-14,2011-07-14,500,0,0,0,0,1.0
ALAMEDA,FLYNN,2011-07-21,2011-07-22,545,0,0,0,0,2.0
SAN DIEGO,EAGLE,2011-07-21,2011-07-29,"14,100",0,0,0,0,9.0
MERCED,ROMERO,2011-07-23,2011-07-23,489,0,0,0,0,1.0
MENDOCINO,PASS,2011-08-03,2011-08-07,616,0,0,0,0,5.0
RIVERSIDE,GILMAN,2011-08-06,2011-08-07,945,0,0,0,0,2.0
NAPA,KNOXVILLE,2011-08-13,2011-08-15,506,0,0,0,0,3.0
SOLANO,BEACON,2011-08-27,2011-08-30,715,0,0,0,0,4.0
LOS ANGELES,OASIS,2011-08-27,2011-08-29,375,0,0,0,0,3.0
RIVERSIDE,KELLER,2011-08-29,2011-08-31,450,0,0,0,0,3.0
"SAN
BERNARDINO",HILL,2011-09-02,2011-09-08,"1,153",3,2,0,0,7.0
"SAN LUIS
OBISPO",SODA,2011-09-03,2011-09-04,"1,528",1,0,0,0,2.0
TULARE,ROADRUNNER,2011-09-04,2011-09-05,335,0,0,0,0,2.0
KERN,CANYON,2011-09-04,2011-09-11,"14,585",100,0,0,0,8.0
SAN JOAQUIN,MILTON,2011-09-09,2011-09-11,"1,122",0,0,0,0,3.0
KERN,"KEENE
COMPLEX",2011-09-10,2011-09-14,"10,470",0,0,0,0,5.0
KERN,"COMANCHE
COMPLEX",2011-09-10,2011-09-17,"29,338",0,0,0,0,8.0
KERN,"BRECKENRIDGE
COMPLEX",2011-09-10,2011-09-17,"25,213",0,0,0,0,8.0
TULARE,TENNESSEE,2011-09-11,2011-09-12,380,0,0,0,0,2.0
INYO,JOHN,2011-09-13,2011-09-16,"5,300",0,0,0,0,4.0
TULARE,"TUU SEPT
LIGHTNING",2011-09-23,2011-09-24,350,0,0,0,0,2.0
KERN,OLD FIRE,2011-09-23,2011-09-24,410,0,0,0,0,2.0
KERN,65 FIRE,2011-09-23,2011-09-24,"2,005",0,0,0,0,2.0
SAN DIEGO,GREAT,2011-10-01,2011-10-07,"2,135",0,0,0,0,7.0
CALAVERAS,BLUE,2011-12-01,2011-12-06,698,0,0,0,0,6.0
,,,,"130,767",132,2,0,0,
KERN,COVE,2011-05-27,2011-06-02,"1,122",0,0,0,0,7.0
MODOC,COUGAR,2011-06-08,2011-06-13,"1,800",0,0,0,0,6.0
TULARE,LION,2011-07-08,2011-11-08,"20,500",0,0,0,0,124.0
MODOC,MAMMOTH,2011-07-15,2011-09-05,"1,194",0,0,0,0,53.0
MODOC,"SCORPION
COMPLEX",2011-07-15,2011-09-05,"1,418",0,0,0,0,53.0
MARIPOSA,AVALANCHE,2011-07-31,2011-10-01,"1,069",0,0,0,0,63.0
MODOC,ANNIE,2011-08-18,2011-09-16,"2,076",0,0,0,0,30.0
SISKIYOU,ONION,2011-08-19,2011-10-11,560,0,0,0,0,54.0
"SAN
BERNARDINO",KEN,2011-08-22,2011-08-30,350,1,0,0,0,9.0
MARIPOSA,MOTOR,2011-08-25,2011-10-01,"5,230",0,0,0,0,38.0
"SAN
BERNARDINO",WELLS,2011-08-28,2011-08-30,"1,784",0,0,0,0,3.0
"SANTA
BARBARA",FIGUEROA,2011-09-03,2011-09-12,698,0,0,0,0,10.0
TULARE,WILLOWS,2011-09-04,2011-09-12,310,0,0,0,0,9.0
LOS ANGELES,"WAGON
WHEEL",2011-09-05,2011-09-08,500,8,0,0,0,4.0
EL DORADO,LONG,2011-09-12,2011-11-11,483,0,0,0,0,61.0
MARIPOSA,TAMARACK,2011-09-13,2011-10-17,"1,015",0,0,0,0,35.0
TUOLUMNE,BURST COMPLEX,2011-09-15,2011-09-15,508,0,0,0,0,1.0
LOS ANGELES,MINT,2011-09-17,2011-09-30,634,0,0,0,0,14.0
TRINITY,RUTH,2011-09-23,2011-11-15,"1,460",31,0,0,0,54.0
RIVERSIDE,WINDY POINT,2011-09-25,2011-10-03,541,0,0,0,0,9.0
ELDORADO,SALT,2011-12-01,2012-01-04,342,0,0,0,0,35.0
,,,,"43,594",40,0,0,0,
MARIPOSA,RIVER,2012-05-18,2012-05-22,320,0,0,0,0,5.0
SAN DIEGO,BANNER 4,2012-05-24,2012-05-29,"5,320",0,0,0,0,6.0
MERCED,BILLY,2012-05-31,2012-05-31,434,0,0,0,0,1.0
LOS ANGELES,5 MILE,2012-06-08,2012-06-09,525,0,0,0,0,2.0
MARIPOSA,GAINES,2012-06-12,2012-06-14,"1,700",0,0,0,0,3.0
FRESNO,LASSEN,2012-06-12,2012-06-13,418,0,0,0,0,2.0
RIVERSIDE,HIGHLAND,2012-06-16,2012-06-18,"2,171",0,0,0,0,3.0
RIVERSIDE,VIEW,2012-06-17,2012-06-18,375,0,0,0,0,2.0
SAN DIEGO,OLD 2,2012-06-17,2012-06-20,995,2,0,0,0,4.0
SHASTA,DALE,2012-07-05,2012-07-07,"1,083",2,5,0,0,3.0
INYO,FISH,2012-07-07,2012-07-09,"1,103",0,0,0,0,3.0
COLUSA,SITES,2012-07-08,2012-07-09,365,0,0,0,0,2.0
COLUSA,GRAPEVINE,2012-07-08,2012-07-12,"1,870",0,0,0,0,5.0
COLUSA,RAIL,2012-07-09,2012-07-12,"1,870",0,0,0,0,4.0
MONTEREY,TURKEY,2012-07-09,2012-07-10,"2,529",0,0,0,0,2.0
TUOLUMNE,SEVEN,2012-07-10,2012-07-11,840,1,0,0,0,2.0
PLACER,ROBBERS,2012-07-11,2012-07-21,"2,650",8,0,0,0,11.0
"SAN LUIS
OBISPO",CALF,2012-07-16,2012-07-18,640,0,0,0,0,3.0
KERN,SAND,2012-07-17,2012-07-19,"1,428",1,0,0,0,3.0
YOLO,FOREST,2012-07-21,2012-07-24,520,0,0,0,0,4.0
TEHAMA,PASKENTA,2012-07-25,2012-07-25,300,0,0,0,0,1.0
KERN,GRAPE,2012-07-28,2012-07-29,370,0,0,0,0,2.0
MENDOCINO,NORTH,2012-07-28,2012-07-30,383,0,0,0,0,3.0
RIVERSIDE,VOLCANO,2012-08-01,2012-08-05,356,1,0,0,0,5.0
RIVERSIDE,RUSHMORE,2012-08-04,2012-08-04,"1,000",0,0,0,0,1.0
SAN DIEGO,CHIHUAHUA 2,2012-08-09,2012-08-12,"2,006",0,0,0,0,4.0
LAKE/COLUSA,WYE,2012-08-12,2012-08-18,"2,934",3,2,0,0,7.0
LAKE/ COLUSA,WALKER,2012-08-12,2012-08-14,"5,000",0,0,0,0,3.0
SAN DIEGO,"VALLECITO
LIGHTNING
COMPLEX",2012-08-13,2012-08-20,"22,829",0,0,0,0,8.0
TEHAMA,MILL,2012-08-13,2012-08-23,"1,641",0,0,0,0,11.0
RIVERSIDE,BUCK,2012-08-14,2012-08-18,"2,681",4,0,0,0,5.0
"TEHAMA/
SHASTA",PONDEROSA,2012-08-18,2012-09-02,"27,676",133,6,0,0,16.0
RIVERSIDE,VISTA,2012-08-20,2012-08-21,500,0,0,0,0,2.0
COLUSA,"SIXTEEN
COMPLEX",2012-09-04,2012-09-11,"19,000",0,0,0,0,8.0
LAKE,SCOTTS,2012-09-07,2012-09-14,"4,517",0,0,0,0,8.0
SAN DIEGO,SHOCKEY,2012-09-23,2012-09-27,"2,555",39,2,0,0,5.0
RIVERSIDE,RANGE,2012-09-29,2012-10-01,351,3,0,0,0,3.0
LAKE,TWENTY NINE,2012-10-18,2012-10-21,300,8,0,0,0,4.0
,,,,"121,555",205,15,0,0,
TULARE,GEORGE,2012-06-01,2012-06-15,"1,707",0,0,0,0,15.0
VENTURA,OZENA,2012-06-16,2012-06-17,361,0,0,0,0,2.0
KERN,GULCH,2012-06-19,2012-06-21,385,1,0,0,0,3.0
VENTURA,HILL,2012-06-23,2012-06-27,689,0,0,0,0,5.0
TRINITY,FLAT,2012-07-11,2012-07-17,"1,688",0,0,0,0,7.0
COLUSA,MILL,2012-07-07,2012-07-18,"29,502",5,0,0,0,12.0
LASSEN,SPANISH,2012-07-18,2012-07-21,"1,169",0,0,0,0,4.0
FRESNO,WOODS CREEK,2012-07-15,2012-07-21,325,0,0,0,0,7.0
PLUMAS,PEAK,2012-07-29,2012-08-02,800,0,0,0,0,5.0
SHASTA,SALT CREEK,2012-08-01,2012-08-04,980,1,0,0,0,4.0
SISKIYOU,DILLON,2012-08-03,2012-08-07,318,0,0,0,0,5.0
MODOC,LAKE COMPLEX,2012-08-05,2012-08-09,"1,668",0,0,0,0,5.0
KERN,PIUTE COMLEX,2012-08-04,2012-08-11,"1,783",0,0,0,0,8.0
FRESNO,BEAR,2012-08-05,2012-08-12,835,0,0,0,0,8.0
MONO,INDIAN,2012-08-08,2012-08-15,"12,574",0,0,0,0,8.0
SHASTA,READING,2012-07-23,2012-08-21,"28,079",0,0,0,0,30.0
MODOC,NELSON (W-1),2012-08-17,2012-08-21,"3,661",0,0,0,0,5.0
SHASTA,BAGLEY COMPLEX,2012-08-18,2012-08-22,"1,000",0,0,0,0,5.0
KERN,"JAWBONE
COMPLEX",2012-08-10,2012-08-22,"1,218",19,9,0,0,13.0
MODOC,ANTELOPE,2012-08-21,2012-08-25,650,0,0,0,0,5.0
MODOC,"BARRYPOINT
(CA LAND)",2012-08-06,2012-08-28,"38,394",3,0,0,0,23.0
LASSEN,RUSH,2012-08-12,2012-08-31,"271,911",0,1,0,0,20.0
CALAVERAS,RAMSEY,2012-08-11,2012-08-31,"1,137",0,0,0,0,21.0
PLUMAS/LASSEN,CHIPS,2012-07-29,2012-08-31,"75,217",9,0,0,0,34.0
SISKIYOU,FORT COMPLEX,2012-08-05,2012-09-10,"23,653",0,0,0,0,37.0
LOS ANGELES,WILLIAMS,2012-09-02,2012-09-11,"4,192",0,0,0,0,10.0
TRINITY,STAFFORD,2012-09-05,2012-09-13,"4,407",0,0,0,0,9.0
SHASTA,WARD,2012-09-11,2012-09-14,550,0,0,0,0,4.0
SHASTA,BAGLEY,2012-08-18,2012-09-15,"46,011",0,0,0,0,29.0
MENDOCINO,NORTH PASS,2012-08-18,2012-09-16,"41,983",26,4,0,0,30.0
LASSEN,LIKELY,2012-09-05,2012-09-14,"9,838",0,0,0,0,10.0
INYO,SOUTH COMPLEX,2012-08-10,2012-10-16,453,0,0,0,0,68.0
SAN BERNARDINO,DEVORE,2012-11-05,2012-11-06,335,1,0,0,0,2.0
MARIPOSA,CASCADE,2012-06-16,2012-11-26,"1,705",0,0,0,0,164.0
,,,,"609,178",65,14,0,0,
LAKE,BECKS,2013-01-22,2013-01-23,335,0,0,0,0,2.0
INYO,RIVER,2013-02-24,2013-02-28,407,0,0,0,0,5.0
RIVERSIDE,JURUPA,2013-02-28,2013-03-02,300,0,2,0,0,3.0
TEHAMA,PANTHER,2013-05-01,2013-05-09,"6,896",0,0,0,0,9.0
RIVERSIDE,SUMMIT,2013-05-01,2013-05-04,"2,956",2,0,0,0,4.0
VENTURA,SPRINGS,2013-05-02,2013-05-09,"24,251",10,12,0,0,8.0
