County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
INYO,MOFFAT,2018-04-19,2018-04-24,"1,065",0,0,0,0,6.0
MERCED,NEES,2018-05-02,2018-05-02,"1,756",0,0,0,0,1.0
RIVERSIDE,PATTERSON,2018-05-17,2018-05-18,"1,261",0,0,0,0,2.0
MADERA,CANAL,2018-05-19,2018-05-20,300,0,0,0,0,2.0
LOS ANGELES,STONE,2018-06-04,2018-06-08,"1,352",0,0,0,0,5.0
MADERA,O'NEALS,2018-06-04,2018-06-07,300,0,0,0,0,4.0
SAN BENITO,AIRLINE 2,2018-06-04,2018-06-12,"1,314",0,0,0,0,9.0
SAN BENITO,EASTERN 2,2018-06-04,2018-06-12,513,0,0,0,0,9.0
TEHAMA,APPLE,2018-06-09,2018-06-12,"2,956",9,3,0,0,4.0
GLENN,CHROME,2018-06-09,2018-06-22,"2,290",1,0,0,0,14.0
MERCED,PLANADA,2018-06-15,2018-06-19,"4,563",0,0,0,0,5.0
LAKE,PAWNEE,2018-06-23,2018-07-08,"15,180",22,6,0,0,16.0
TEHAMA,LANE,2018-06-23,2018-07-04,"3,392",0,0,0,0,12.0
SHASTA,PANTHER,2018-06-24,2018-06-26,386,0,0,0,0,3.0
BUTTE,SHIPPEE,2018-06-26,2018-06-27,460,0,0,0,0,2.0
LASSEN,HYATT,2018-06-27,2018-06-29,383,4,0,0,0,3.0
SAN JOAQUIN,WAVERLY,2018-06-29,2018-07-12,"11,789",1,0,0,0,14.0
YOLO,COUNTY,2018-06-30,2018-07-14,"90,000",29,4,0,0,15.0
EL DORADO,SHINGLE,2018-07-04,2018-07-05,316,0,0,0,0,2.0
SISKIYOU,KLAMATHON,2018-07-05,2018-07-21,"38,008",83,12,0,1,17.0
SAN BERNARDINO,VALLEY,2018-07-06,2018-07-12,"1,350",0,0,0,0,7.0
AMADOR,IRISH,2018-07-06,2018-07-09,825,1,1,0,0,4.0
ALAMEDA,GRANT,2018-07-08,2018-07-09,480,1,0,0,0,2.0
TEHAMA,DALE,2028-07-09,2018-07-09,856,0,0,0,0,-3652.0
YOLO,EIGHTY EIGHT,2018-07-18,2018-07-21,822,0,0,0,0,4.0
SANTA CLARA,COUNTRY,2018-07-22,2018-07-24,320,0,0,0,0,3.0
SHASTA,CARR,2018-07-23,2018-09-01,"229,651",0,279,3,4,41.0
SAN DIEGO,PASQUAL,2018-07-27,2018-07-31,365,0,0,0,0,5.0
"COLUSA, LAKE,
MENDOCINO","RIVER - MENDOCINO
COMPLEX",2018-07-27,2018-09-27,"48,920",35,11,0,0,63.0
"COLUSA, GLENN,
LAKE, MENDOCINO","RANCH - MENDOCINO
COMPLEX",2018-07-27,2018-08-17,"410,203",246,27,1,0,22.0
PLACER,SUNSET,2018-08-01,2018-08-03,695,0,0,0,0,3.0
KERN,TARINA,2018-08-03,2018-08-05,"3,516",0,0,0,0,3.0
MONTEREY,TURKEY,2018-08-06,2018-08-07,"2,225",0,0,0,0,2.0
SHASTA,HAT,2018-08-09,2018-08-23,"1,900",0,0,0,0,15.0
SOLANO,NELSON,2018-08-10,2018-08-14,"2,162",1,1,0,0,5.0
MONTEREY,GULCH,2018-08-11,2018-08-11,700,0,0,0,0,1.0
TULARE,RIVER 7,2018-08-15,2018-08-19,496,0,0,0,0,5.0
NAPA,SNELL,2018-09-08,2018-09-15,"2,490",0,0,0,0,8.0
TUOLUMNE,TULLOCH,2018-09-08,2018-09-10,573,0,0,0,0,3.0
MONTEREY,METZ,2018-09-13,2018-09-15,411,0,0,0,0,3.0
MADERA,OAK,2018-09-22,2018-09-29,360,0,0,0,0,8.0
LOS ANGELES,CHARLIE,2018-09-22,2018-09-30,"3,380",0,0,0,0,9.0
TEHAMA,SUN,2018-10-07,2018-10-07,"3,889",0,0,0,0,1.0
BUTTE,JUNES,2018-10-30,2018-11-12,550,0,0,0,0,14.0
VENTURA,HILL,2018-11-08,2018-11-16,"4,381",4,2,0,0,9.0
BUTTE,CAMP,2018-11-08,2018-12-20,"153,336",0,754,0,85,43.0
VENTURA,WOOLSEY,2018-11-08,2018-11-22,"96,949",0,364,0,3,15.0
,,,,"1,149,389",0,0,4,93,
INYO,PLEASANT,2018-02-18,2018-02-25,"2,070",0,0,0,0,8.0
SAN DIEGO,ALPHA,2018-05-04,2018-05-05,300,0,0,0,0,2.0
MADERA,LIONS,2018-06-11,2018-07-14,"12,990",0,0,0,0,34.0
LASSEN,TUMBLEWEED,2018-06-14,2018-06-17,646,0,0,0,0,4.0
SAN LUIS OBISPO,YANKEE,2018-06-20,2018-06-22,"1,500",0,0,0,0,3.0
SAN DIEGO,PENDLETON COMPLEX,2018-07-06,2018-07-10,"1,520",0,0,0,0,5.0
SAN DIEGO,WEST,2018-07-06,2018-07-10,505,48,14,0,0,5.0
INYO,GEORGES,2018-07-08,2018-07-23,"2,941",0,0,0,0,16.0
BUTTE,STONEY,2018-07-12,2018-07-20,"1,000",0,0,0,0,9.0
MODOC,EAGLE,2018-07-13,2018-07-20,"2,100",0,0,0,0,8.0
MARIPOSA,FERGUSON,2018-07-13,2018-08-22,"96,901",11,0,2,0,41.0
RIVERSIDE,CRANSTON,2018-07-25,2018-08-09,"13,139",12,5,0,0,16.0
LASSEN,WHALEBACK,2018-07-27,2018-08-06,"18,703",0,0,0,0,11.0
SUTTER,BUTTE,2018-07-31,2018-08-02,"1,000",0,0,0,0,3.0
MONO,OWENS,2018-07-31,2018-08-05,338,0,0,0,0,6.0
MONO,HOTCREEK,2018-07-31,2018-08-05,419,0,0,0,0,6.0
MENDOCINO,EEL,2018-07-31,2018-08-08,972,10,0,0,0,9.0
TUOLUMNE,DONNELL,2018-08-01,2018-10-31,"36,450",135,0,0,0,92.0
ORANGE,HOLY,2018-08-06,2018-09-14,"23,025",24,18,0,0,40.0
SHASTA,HIRZ,2018-08-09,2018-09-12,"46,051",0,0,0,0,35.0
MODOC,STONE,2018-08-15,2018-09-01,"39,387",2,0,0,0,18.0
HUMBOLDT,MILL CREEK 1,2018-08-16,2018-08-30,"3,674",0,0,0,0,15.0
KERN,CALL,2018-08-18,2018-08-21,367,0,0,0,0,4.0
SAN LUIS OBISPO,FRONT,2018-08-19,2018-08-29,"1,014",0,0,0,0,11.0
PLACER,NORTH,2018-09-03,2018-09-16,"1,120",0,0,0,0,14.0
TRINITY,KERLIN,2018-09-04,2018-09-17,"1,751",5,0,0,0,14.0
SHASTA,DELTA,2018-09-05,2018-10-11,"63,311",42,4,0,0,37.0
MONTEREY,NACIMIENTO,2018-10-02,2018-10-03,450,0,0,0,0,2.0
TULARE,ALDER,2018-10-04,2018-12-22,"4,654",0,0,0,0,80.0
SOLANO,BRANSCOMBE,2018-10-07,2018-10-08,"4,500",2,0,0,0,2.0
TULARE,MOUNTAINEER,2018-10-13,2018-12-22,"1,270",0,0,0,0,71.0
,,,,"384,068",291,41,2,0,
,,,,"1,533,457",0,0,6,93,
