County,Fire Name,Start,Contained,Acres,Duration,Total Deaths,Year,Month
LOS ANGELES,SANTA ANITA,2008-04-26,2008-05-02,0.0,2,0,2008,5
LOS ANGELES,SANTA ANITA,2008-04-26,2008-05-02,584.0,5,0,2008,4
RIVERSIDE,APACHE,2008-04-29,2008-05-04,769.0,2,0,2008,4
RIVERSIDE,APACHE,2008-04-29,2008-05-04,0.0,4,0,2008,5
SANTA CLARA,Summit,2008-05-22,2008-06-15,0.0,15,0,2008,6
SANTA CLARA,Summit,2008-05-22,2008-06-15,4270.0,10,0,2008,5
TULARE,CLOVER,2008-05-28,2008-07-20,30600.0,4,0,2008,5
TULARE,CLOVER,2008-05-28,2008-07-20,0.0,30,0,2008,6
TULARE,CLOVER,2008-05-28,2008-07-20,0.0,20,0,2008,7
MONTEREY,INDIANS,2008-06-08,2008-07-10,0.0,10,0,2008,7
MONTEREY,INDIANS,2008-06-08,2008-07-10,81378.0,23,0,2008,6
SONOMA,Pine,2008-06-10,2008-10-14,0.0,31,0,2008,7
SONOMA,Pine,2008-06-10,2008-10-14,0.0,31,0,2008,8
SONOMA,Pine,2008-06-10,2008-10-14,0.0,30,0,2008,9
SONOMA,Pine,2008-06-10,2008-10-14,0.0,14,0,2008,10
SONOMA,Pine,2008-06-10,2008-10-14,3956.0,21,0,2008,6
TRINITY,LIME COMPLEX,2008-06-20,2008-08-15,0.0,31,0,2008,7
TRINITY,LIME COMPLEX,2008-06-20,2008-08-15,0.0,15,0,2008,8
HUMBOLDT,UKONOM-SOUTH COMPLEX,2008-06-20,2008-09-15,0.0,15,0,2008,9
TRINITY,LIME COMPLEX,2008-06-20,2008-08-15,197430.0,11,0,2008,6
HUMBOLDT,MAD COMPLEX,2008-06-20,2008-07-21,0.0,21,0,2008,7
HUMBOLDT,HELLS HALF COMPLEX,2008-06-20,2008-07-28,0.0,28,0,2008,7
HUMBOLDT,HELLS HALF COMPLEX,2008-06-20,2008-07-28,15146.0,11,0,2008,6
HUMBOLDT,MAD COMPLEX,2008-06-20,2008-07-21,3705.0,11,0,2008,6
HUMBOLDT,UKONOM-SOUTH COMPLEX,2008-06-20,2008-09-15,87981.0,11,0,2008,6
HUMBOLDT,UKONOM-SOUTH COMPLEX,2008-06-20,2008-09-15,0.0,31,0,2008,8
