County,Tot_Damage,Year,county_up
Butte,24410210.0,2008,BUTTE
Mendocino,621450.0,2008,MENDOCINO
Mendocino,621450.0,2008,MENDOCINO
Santa Clara,202701.0,2008,SANTA CLARA
Siskiyou,16200.0,2008,SISKIYOU
Siskiyou,16200.0,2008,SISKIYOU
Riverside,97695477.0,2008,RIVERSIDE
Riverside,97695477.0,2008,RIVERSIDE
San Bernardino,69601.0,2008,SAN BERNARDINO
San Diego,71302.0,2008,SAN DIEGO
San Diego,71302.0,2008,SAN DIEGO
San Luis Obispo,392260.0,2008,SAN LUIS OBISPO
San Luis Obispo,392260.0,2008,SAN LUIS OBISPO
Tulare,93916.0,2008,TULARE
Tulare,93916.0,2008,TULARE
Butte,6454.0,2009,BUTTE
Mendocino,912470.0,2009,MENDOCINO
Mendocino,912470.0,2009,MENDOCINO
Santa Clara,1500829.0,2009,SANTA CLARA
Siskiyou,15350.0,2009,SISKIYOU
Siskiyou,15350.0,2009,SISKIYOU
Riverside,565250.0,2009,RIVERSIDE
Riverside,565250.0,2009,RIVERSIDE
San Bernardino,11000.0,2009,SAN BERNARDINO
San Diego,236815.0,2009,SAN DIEGO
San Diego,236815.0,2009,SAN DIEGO
San Luis Obispo,118822.0,2009,SAN LUIS OBISPO
San Luis Obispo,118822.0,2009,SAN LUIS OBISPO
Tulare,17962.0,2009,TULARE
Tulare,17962.0,2009,TULARE
Amador,5000.0,2010,AMADOR
El Dorado,52650.0,2010,EL DORADO
Sacramento,3800.0,2010,SACRAMENTO
San Joaquin,0.0,2010,SAN JOAQUIN
Butte,459854.0,2010,BUTTE
Plumas,0.0,2010,PLUMAS
Tehama,0.0,2010,TEHAMA
Del Norte,0.0,2010,DEL NORTE
Humboldt,278870.0,2010,HUMBOLDT
Siskiyou,0.0,2010,SISKIYOU
Lassen,63080.0,2010,LASSEN
Modoc,1364.0,2010,MODOC
Plumas,10.0,2010,PLUMAS
Mendocino,31710.0,2010,MENDOCINO
Trinity,0.0,2010,TRINITY
Nevada,16000.0,2010,NEVADA
Placer,37560.0,2010,PLACER
Sierra,10000.0,2010,SIERRA
Yuba,17500.0,2010,YUBA
San Mateo,16040.0,2010,SAN MATEO
Santa Cruz,200951.0,2010,SANTA CRUZ
Alameda,264450.0,2010,ALAMEDA
Santa Clara,5400.0,2010,SANTA CLARA
Shasta,101950.0,2010,SHASTA
Siskiyou,7050.0,2010,SISKIYOU
Colusa,0.0,2010,COLUSA
Lake,1000.0,2010,LAKE
Napa,201725.0,2010,NAPA
Solano,11150.0,2010,SOLANO
Sonoma,340240.0,2010,SONOMA
Yolo,2.0,2010,YOLO
Glenn,4000.0,2010,GLENN
Tehama,50400.0,2010,TEHAMA
Fresno,302622.0,2010,FRESNO
Kings,0.0,2010,KINGS
Madera,5340.0,2010,MADERA
Mariposa,20296.0,2010,MARIPOSA
Merced,49700.0,2010,MERCED
Riverside,53475.0,2010,RIVERSIDE
Monterey,27750.0,2010,MONTEREY
San Benito,62015.0,2010,SAN BENITO
Inyo,7500.0,2010,INYO
San Bernardino,5800.0,2010,SAN BERNARDINO
San Diego,35550.0,2010,SAN DIEGO
San Luis Obispo,54268.0,2010,SAN LUIS OBISPO
Tulare,57895.0,2010,TULARE
Calaveras,96763.0,2010,CALAVERAS
Tuolumne,123502.0,2010,TUOLUMNE
Amador,4200.0,2011,AMADOR
El Dorado,55400.0,2011,EL DORADO
