County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
LAKE,"CONTROL BURN, GEYSERS",2008-02-13,2008-02-13,400,0,0,1,0,0
SAN BERNARDINO,Bluff,2008-03-16,2008-03-20,680,0,0,5,0,0
MARIPOSA,WAWONA NW,2008-04-09,2008-04-19,"1,130",0,0,11,0,0
LOS ANGELES,SANTA ANITA,2008-04-26,2008-05-02,584,0,0,7,0,0
RIVERSIDE,APACHE,2008-04-29,2008-05-04,769,0,0,6,0,0
TEHAMA,Colyear,2008-05-06,2008-05-09,"1,331",0,0,4,0,0
TULARE,HONEY BEE,2008-05-06,2008-05-23,"1,225",0,0,18,0,0
LOS ANGELES,BIGHORN,2008-05-14,2008-05-21,490,0,0,8,0,0
FRESNO,Avocado,2008-05-20,2008-05-21,"1,100",0,0,2,0,0
FRESNO,Gatos,2008-05-22,2008-05-22,331,0,0,1,0,0
SANTA CLARA,Summit,2008-05-22,2008-06-15,"4,270",0,0,25,0,0
RIVERSIDE,Johnson VMP,2008-05-28,2008-05-29,424,0,0,2,0,0
TULARE,CLOVER,2008-05-28,2008-07-20,"15,300",0,0,54,0,0
SONOMA,85,2008-06-05,2008-06-05,322,0,0,1,0,0
KERN,GRAPEVINE,2008-06-06,2008-06-08,507,0,0,3,0,0
KERN,RICHBAR,2008-06-07,2008-06-08,312,0,0,2,0,0
SAN BERNARDINO,ACOMA,2008-06-07,2008-06-10,356,0,0,4,0,0
MONTEREY,INDIANS,2008-06-08,2008-07-10,"81,378",0,0,33,0,0
MADERA,41,2008-06-10,2008-06-11,"3,300",0,0,2,0,0
BUTTE,Ophir,2008-06-10,2008-06-11,"1,600",0,0,2,0,0
TUOLUMNE,LaGrange,2008-06-10,2008-06-12,"1,346",0,0,3,0,0
SACRAMENTO,JACKSON,2008-06-10,2008-06-12,"6,400",0,0,3,0,0
SONOMA,Pine,2008-06-10,2008-10-14,989,0,0,127,0,0
BUTTE,Humboldt,2008-06-11,2008-06-16,"23,344",0,0,6,0,0
SAN MATEO,Martin Fire,2008-06-11,2008-06-30,520,0,0,20,0,0
TEHAMA,WHISKEY,2008-06-12,2008-06-22,"7,783",0,0,11,0,0
SAN MATEO,Trabing,2008-06-20,2008-06-22,630,0,0,3,0,0
MENDOCINO,Albion River Lightning,2008-06-20,2008-06-30,"1,000",0,0,11,0,0
HUMBOLDT,MAD COMPLEX,2008-06-20,2008-07-21,"3,705",0,0,32,0,0
