County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
Lake,"CONTROL BURN, GEYSERS",2008-02-13,2008-02-13,400,0,0,1,0,0
San Bernardino,Bluff,2008-03-16,2008-03-20,680,0,0,5,0,0
Mariposa,WAWONA NW,2008-04-09,2008-04-19,1130,0,0,11,0,0
Los Angeles,SANTA ANITA,2008-04-26,2008-05-02,584,0,0,7,0,0
Riverside,APACHE,2008-04-29,2008-05-04,769,0,0,6,0,0
Tehama,Colyear,2008-05-06,2008-05-09,1331,0,0,4,0,0
Tulare,HONEY BEE,2008-05-06,2008-05-23,1225,0,0,18,0,0
Los Angeles,BIGHORN,2008-05-14,2008-05-21,490,0,0,8,0,0
Fresno,Avocado,2008-05-20,2008-05-21,1100,0,0,2,0,0
Fresno,Gatos,2008-05-22,2008-05-22,331,0,0,1,0,0
Santa Clara,Summit,2008-05-22,2008-06-15,4270,0,0,25,0,0
Riverside,Johnson VMP,2008-05-28,2008-05-29,424,0,0,2,0,0
Tulare,CLOVER,2008-05-28,2008-07-20,15300,0,0,54,0,0
Sonoma,85,2008-06-05,2008-06-05,322,0,0,1,0,0
Kern,GRAPEVINE,2008-06-06,2008-06-08,507,0,0,3,0,0
Kern,RICHBAR,2008-06-07,2008-06-08,312,0,0,2,0,0
San Bernardino,ACOMA,2008-06-07,2008-06-10,356,0,0,4,0,0
Monterey,INDIANS,2008-06-08,2008-07-10,81378,0,0,33,0,0
Madera,41,2008-06-10,2008-06-11,3300,0,0,2,0,0
Butte,Ophir,2008-06-10,2008-06-11,1600,0,0,2,0,0
Tuolumne,LaGrange,2008-06-10,2008-06-12,1346,0,0,3,0,0
Sacramento,JACKSON,2008-06-10,2008-06-12,6400,0,0,3,0,0
Sonoma,Pine,2008-06-10,2008-10-14,989,0,0,127,0,0
Butte,Humboldt,2008-06-11,2008-06-16,23344,0,0,6,0,0
San Mateo,Martin Fire,2008-06-11,2008-06-30,520,0,0,20,0,0
Tehama,WHISKEY,2008-06-12,2008-06-22,7783,0,0,11,0,0
San Mateo,Trabing,2008-06-20,2008-06-22,630,0,0,3,0,0
Mendocino,Albion River Lightning,2008-06-20,2008-06-30,1000,0,0,11,0,0
Humboldt,MAD COMPLEX,2008-06-20,2008-07-21,3705,0,0,32,0,0
Humboldt,HELLS HALF COMPLEX,2008-06-20,2008-07-28,15146,0,0,39,0,0
Trinity,LIME COMPLEX,2008-06-20,2008-08-15,98715,0,0,57,0,0
