County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
MONO,VAN DYKE,2015-02-06,2015-02-10,509,0,0,0,0,5 days
INYO,ROUND,2015-02-06,2015-02-13,"7,000",43,5,0,0,8 days
RIVERSIDE,HIGHWAY,2015-04-18,2015-04-24,"1,049",0,0,0,0,7 days
SAN DIEGO,CARL,2015-04-28,2015-04-29,"4,000",0,0,0,0,2 days
SAN DIEGO,MORTAR,2015-04-28,2015-04-29,800,0,0,0,0,2 days
SAN DIEGO,GRENADE,2015-04-29,2015-05-05,"2,025",0,0,0,0,7 days
MERCED,FOREBAY,2015-05-11,2015-05-12,692,0,0,0,0,2 days
TRINITY,SADDLE,2015-06-09,2015-06-25,"1,542",0,0,0,0,17 days
MONTEREY,PEANUT,2015-06-11,2015-06-11,"1,532",0,0,0,0,1 days
SAN BERNARDINO,LAKE,2015-06-17,2015-07-05,"31,359",4,0,0,0,19 days
MADERA,CORRINE,2015-06-18,2015-06-24,920,2,0,0,0,7 days
MADERA,SKY,2015-06-18,2015-06-26,500,0,0,0,0,9 days
SAN LUIS OBISPO,PARKHILL,2015-06-20,2015-06-20,"1,791",18,3,0,0,1 days
LOS ANGELES,CALGROVE,2015-06-24,2015-06-26,415,0,1,0,0,3 days
SACRAMENTO,IONE,2015-07-02,2015-07-05,357,0,0,0,0,4 days
SISKIYOU,YORK,2015-07-04,2015-07-06,395,0,0,0,0,3 days
SAN BERNARDINO,NORTH,2015-07-17,2015-07-21,"4,250",23,5,0,0,5 days
MERCED,MCCABE,2015-07-18,2015-07-22,"1,600",0,0,0,0,5 days
TULARE,CABIN,2015-07-19,2015-09-05,"6,980",0,0,0,0,49 days
TULARE,TRIPLE 3,2015-07-21,2015-07-21,430,0,0,0,0,1 days
NAPA,WRAGG,2015-07-22,2015-08-06,"8,051",2,5,0,0,16 days
NEVADA,LOWELL,2015-07-25,2015-08-12,"2,304",3,1,0,0,19 days
MADERA,WILLOW,2015-07-25,2015-08-15,"5,702",0,0,0,0,22 days
LAKE,ROCKY,2015-07-29,2015-08-14,"69,636",96,8,0,0,17 days
BUTTE,SWEDES,2015-07-29,2015-08-16,400,16,0,0,0,19 days
MODOC,FROG,2015-07-30,2015-08-06,"4,863",0,0,1,0,8 days
HUMBOLDT,HUMBOLDT COMPLEX,2015-07-30,2015-08-21,"4,883",7,0,0,0,23 days
TRINITY,FORK COMPLEX,2015-07-30,2015-08-29,"36,499",12,0,0,0,31 days
HUMBOLDT,ROUTE COMPLEX,2015-07-30,2015-08-31,"35,675",2,0,0,0,33 days
TRINITY,MAD RIVER COMPLEX,2015-07-30,2015-09-03,"37,462",4,0,0,0,36 days
TRINITY,RIVER COMPLEX,2015-07-30,2015-10-15,"77,081",0,0,0,0,78 days
MERCED,CREEK,2015-07-31,2015-07-31,"1,450",0,0,0,0,1 days
DEL NORTE,GASQUET COMPLEX,2015-07-31,2015-10-15,"30,361",0,0,0,0,77 days
FRESNO,ROUGH,2015-07-31,2015-12-01,"151,623",4,0,0,0,124 days
DEL NORTE,NICKOWITZ,2015-08-01,2015-09-30,"7,509",0,0,0,0,61 days
TRINITY,SOUTH COMPLEX,2015-08-01,2015-10-01,"29,416",3,0,0,0,62 days
LASSEN,DODGE,2015-08-03,2015-08-17,"10,570",0,0,0,0,15 days
LAKE,JERUSALEM,2015-08-09,2015-08-25,"25,118",27,0,0,0,17 days
RIVERSIDE,ANZA,2015-08-10,2015-08-15,500,0,0,0,0,6 days
SAN DIEGO,HORNO,2015-08-13,2015-08-17,"1,846",0,0,0,0,5 days
LOS ANGELES,CABIN,2015-08-14,2015-08-20,"1,723",3,0,0,0,7 days
MONO,WALKER,2015-08-14,2015-08-31,"3,676",0,0,0,0,18 days
LOS ANGELES,WARM,2015-08-16,2015-08-19,300,3,3,0,0,4 days
SAN LUIS OBISPO,CUESTA,2015-08-16,2015-09-03,"2,446",1,0,0,0,19 days
KERN,DEER,2015-08-18,2015-08-20,311,0,0,0,0,3 days
ALAMEDA,TESLA,2015-08-19,2015-08-25,"2,850",1,0,0,0,7 days
LAKE,ELK,2015-09-02,2015-09-06,700,0,0,0,0,5 days
MARIPOSA,TENAYA,2015-09-07,2015-09-16,415,0,0,0,0,10 days
AMADOR,BUTTE,2015-09-09,2015-10-23,"70,868",965,0,0,2,45 days
BUTTE,LUMPKIN,2015-09-11,2015-09-21,"1,040",0,0,0,0,11 days
LAKE,VALLEY,2015-09-12,2015-10-15,"76,067",0,93,0,4,34 days
MONTEREY,TASSAJARA,2015-09-19,2015-09-29,"1,086",20,1,0,0,11 days
BUTTE,MERIDIAN,2015-10-03,2015-10-04,860,0,0,0,0,2 days
SAN BENITO,CIENEGA,2015-10-12,2015-10-16,690,0,0,0,0,5 days
VENTURA,SOLIMAR,2015-12-25,2015-12-28,"1,288",0,0,0,0,4 days
SAN LUIS OBISPO,CAMP ROBERTS,2016-05-18,2016-05-20,"3,712",0,0,0,0,3 days
MONTEREY,METZ,2016-05-22,2016-05-25,"3,876",0,0,0,0,4 days
MONTEREY,METZ,2016-05-22,2016-05-25,"3,876",0,0,0,0,4 days
TULARE,CHIMNEY,2016-06-01,2016-06-07,"1,324",0,0,0,0,7 days
MONTEREY,STONY,2016-06-02,2016-06-17,"3,000",0,0,0,0,16 days
SAN LUIS OBISPO,SODA,2016-06-04,2016-06-06,"2,003",0,0,0,0,3 days
LOS ANGELES,OLD,2016-06-04,2016-06-10,465,9,1,0,0,7 days
MONTEREY,COLEMAN,2016-06-04,2016-06-17,"2,520",1,0,0,0,14 days
SISKIYOU,PONY,2016-06-07,2016-10-02,"2,860",0,0,0,0,118 days
SANTA BARBARA,SHERPA,2016-06-15,2016-06-23,"7,474",5,0,0,0,9 days
SAN DIEGO,BORDER 3,2016-06-19,2016-07-01,"7,609",16,3,0,2,13 days
LOS ANGELES,RESERVOIR,2016-06-20,2016-07-05,"1,146",0,0,0,1,16 days
LOS ANGELES,FISH,2016-06-20,2016-07-05,"4,253",0,0,0,0,16 days
KERN,ERSKINE,2016-06-23,2016-07-09,"48,019",286,12,0,2,17 days
MONO,MARINA,2016-06-24,2016-07-04,654,1,0,0,0,11 days
MERCED,DINOSAUR,2016-06-25,2016-06-26,"1,246",0,0,0,0,2 days
MARIPOSA,LAKES,2016-06-26,2016-10-31,"1,001",0,0,0,0,128 days
SACRAMENTO,RANCHO,2016-06-28,2016-06-30,372,0,0,0,0,3 days
PLACER,TRAILHEAD,2016-06-28,2016-08-14,"5,645",0,0,0,0,48 days
TEHAMA,COLYEAR,2016-06-30,2016-07-06,464,0,0,0,0,7 days
VENTURA,PINE,2016-06-30,2016-07-17,"2,304",0,0,0,0,18 days
FRESNO,CURRY,2016-07-01,2016-07-04,"2,944",0,0,0,0,4 days
KERN,DEER,2016-07-01,2016-07-10,"1,785",0,0,0,0,10 days
CALAVERAS,APPALOOSA,2016-07-02,2016-07-15,310,1,0,0,0,14 days
SHASTA,FIDDLER,2016-07-08,2016-07-09,303,1,1,0,0,2 days
KERN,FORT,2016-07-08,2016-07-09,554,0,0,0,0,2 days
LOS ANGELES,SAGE,2016-07-09,2016-07-16,"1,100",0,2,0,0,8 days
CALAVERAS,PACHECO,2016-07-12,2016-07-18,341,2,0,0,0,7 days
SAN DIEGO,ROBLAR,2016-07-21,2016-07-27,"1,245",0,0,0,0,7 days
LOS ANGELES,SAND,2016-07-22,2016-08-06,"41,383",116,20,0,1,16 days
MONTEREY,SOBERANES,2016-07-22,2016-10-13,"132,127",68,5,1,0,84 days
FRESNO,GOOSE,2016-07-30,2016-08-09,"2,241",9,1,0,0,11 days
BUTTE,99,2016-08-02,2016-08-08,520,0,0,0,0,7 days
YOLO,COLD,2016-08-02,2016-08-12,"5,731",2,0,0,0,11 days
MONO,CLARK,2016-08-04,2016-08-12,"2,819",0,0,0,0,9 days
SAN BERNARDINO,PILOT,2016-08-07,2016-08-16,"8,110",0,0,0,0,10 days
