County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
MONTEREY,COLORADO,2022-01-21,2022-02-02,687,1,1,0,0,13
INYO,AIRPORT,2022-02-16,2022-02-26,"4,136",0,0,0,0,11
MADERA,VALLEY,2022-04-13,2022-04-13,680,0,0,0,0,1
MERCED,SANDY,2022-05-15,2022-05-15,457,0,1,0,0,1
KERN,EDMONSTON,2022-05-19,2022-05-24,682,0,0,0,0,6
NAPA,OLD,2022-05-31,2022-06-05,570,0,0,0,0,6
KERN,PLANT,2022-06-11,2022-06-14,517,0,0,0,0,4
SAN DIEGO,BORDER 13,2022-06-13,2022-06-17,577,0,0,0,0,5
TEHAMA,RANCHO,2022-06-13,2022-06-18,593,7,2,0,0,6
KERN,THUNDER,2022-06-22,2022-06-27,"2,500",0,0,0,0,6
MERCED,ROMERO,2022-06-23,2022-06-24,349,0,0,0,0,2
ALAMEDA,TESLA,2022-06-23,2022-06-23,552,0,0,0,0,1
GLENN,BURROWS,2022-06-28,2022-07-03,317,0,0,0,0,6
SAN LUIS OBISPO,CAMINO,2022-06-28,2022-07-03,387,0,0,0,0,6
NEVADA,RICES,2022-06-28,2022-07-05,904,4,0,0,0,8
BUTTE,NELSON,2022-06-30,2022-06-30,328,0,0,0,0,1
AMADOR,ELECTRA,2022-07-04,2022-07-23,"4,470",0,0,0,0,20
SHASTA,PETER,2022-07-14,2022-07-19,304,16,4,0,0,6
MARIPOSA,AGUA,2022-07-18,2022-07-22,421,3,0,0,0,5
MARIPOSA,OAK,2022-07-22,2022-09-02,"19,244",194,10,0,0,43
SAN DIEGO,BORDER 32,2022-08-31,2022-09-05,"4,456",30,8,0,0,6
LOS ANGELES,ROUTE,2022-08-31,2022-09-06,"5,208",2,0,0,0,7
SISKIYOU,MILL,2022-09-02,2022-09-14,"3,939",118,26,0,2,13
SISKIYOU,MOUNTAIN,2022-09-02,2022-10-30,"13,440",4,0,0,0,59
RIVERSIDE,FAIRVIEW,2022-09-05,2022-09-22,"28,098",37,8,0,2,18
MADERA,FORK,2022-09-07,2022-09-14,819,43,1,0,0,8
"PLACER,
EL DORADO",MOSQUITO,2022-09-06,2022-10-22,"76,788",78,14,0,0,47
MODOC,BARNES,2022-09-07,2022-09-28,"5,843",2,0,0,0,22
KERN,WOLF,2021-01-19,2021-01-20,865,0,0,0,0,2
SISKIYOU,REFUGE,2021-03-27,2021-03-28,873,0,0,0,0,2
SAN DIEGO,SOUTHERN,2021-05-01,2021-05-07,"5,366",3,0,0,0,7
BUTTE,GUNNISON,2021-05-08,2021-05-08,550,2,1,0,0,1
RIVERSIDE,DAVIS,2021-05-18,2021-05-18,300,0,0,0,0,1
STANISLAUS,MILE,2021-05-27,2021-05-28,508,0,0,0,0,2
MONTEREY,SARGENTS,2021-05-30,2021-06-02,"1,118",0,0,0,0,4
YUBA,INTANKO,2021-06-08,2021-06-16,939,2,0,0,0,9
BUTTE,PARK,2021-06-17,2021-06-19,402,0,0,0,0,3
INYO,ALABAMA,2021-06-18,2021-06-23,560,0,0,0,0,6
TULARE,SUCCESS 2,2020-06-18,2021-06-21,800,0,0,0,0,369
SAN DIEGO,OVERLAND,2021-06-19,2021-06-23,515,0,0,0,0,5
SHASTA,COW,2021-06-20,2021-06-26,761,2,0,0,0,7
SAN DIEGO,MESA,2021-06-23,2021-06-30,350,0,0,0,0,8
KERN,SHELL,2021-06-27,2021-07-01,"1,984",0,0,0,0,5
TULARE,MAIN,2021-07-03,2021-07-04,384,0,0,0,0,2
MARIPOSA,RIVER,2021-07-11,2021-07-21,"9,656",12,2,0,0,11
"PLUMAS, BUTTE, LASSEN,
SHASTA, TEHAMA",DIXIE,2021-07-13,2021-10-26,"963,309",0,94,0,0,106
PLACER,RIVER,2021-08-04,2021-09-22,"2,619",142,21,0,0,50
CALAVERAS,AIROLA,2021-08-25,2021-09-02,639,0,0,0,0,9
SAN BERNARDINO,SOUTH,2021-08-25,2021-09-01,680,9,28,0,0,8
PLACER,BRIDGE,2021-09-05,2021-09-16,411,0,0,0,0,12
SHASTA,FAWN,2021-09-22,2021-10-02,"8,578",185,26,0,0,11
KINGS,KETTLE,2021-10-11,2021-10-12,447,0,0,0,0,2
RIVERSIDE,BONITA,2021-01-15,2021-01-30,681,0,0,0,0,16
TUOLUMNE,ABERNATHY,2021-01-19,2021-01-23,374,0,0,0,0,5
LOS ANGELES,NORTH,2021-04-28,2021-05-02,650,0,0,0,0,5
KERN,OWENS,2021-05-01,2021-05-06,"1,512",0,0,0,0,6
LOS ANGELES,PINE,2021-05-12,2021-05-15,442,5,1,0,0,4
LOS ANGELES,PALISADES,2021-05-14,2021-05-26,"1,202",0,0,0,0,13
LOS ANGELES,WEEVILL,2021-05-20,2021-05-22,300,0,0,0,0,3
SAN DIEGO,SIERRA,2021-06-09,2021-06-11,"1,000",0,0,0,0,3
RIVERSIDE,FLATS,2021-06-13,2021-06-20,341,3,1,0,0,8
TULARE,NETTLE,2021-06-18,2021-07-01,"1,265",0,0,0,0,14
SAN BERNARDINO,MOJAVE,2021-06-17,2021-06-25,"2,490",0,0,0,0,9
MONTEREY,WILLOW,2021-06-17,2021-07-11,"2,877",0,0,0,0,25
INYO,INYO CREEK,2021-06-19,2021-07-06,592,0,0,0,0,18
ALPINE,HENRY,2021-06-25,2021-08-27,"1,320",0,0,0,0,64
SISKIYOU,TENNANT,2021-06-28,2021-07-31,"10,580",9,1,0,0,34
SHASTA,SALT,2021-06-30,2021-07-19,"12,660",43,4,0,0,20
SISKIYOU,LAVA,2021-06-24,2021-09-01,"26,409",23,2,0,0,70
TUOLUMNE,LUKENS,2021-07-01,2021-08-15,867,0,0,0,0,46
PLUMAS,"BECKWOURTH
COMPLEX",2021-07-03,2021-10-01,"105,670",148,23,0,0,91
LOS ANGELES,TUMBLEWEED,2021-07-04,2021-07-09,868,0,0,0,0,6
ALPINE,TAMARACK,2021-07-04,2021-10-15,"68,637",15,2,0,0,104
MODOC,JUNIPER,2021-07-05,2021-07-10,"1,011",0,0,0,0,6
SISKIYOU,BRADLEY,2021-07-11,2021-07-17,357,0,0,0,0,7
MONO,DEXTER,2021-07-12,2021-07-28,"2,965",0,0,0,0,17
KERN,PEAK,2021-07-20,2021-08-03,"2,098",1,1,0,0,15
