COUNTY_NAME,FIRE_NAME,fire_count
Alameda,"MIDWAY, BIRD, CANYON, GRANT, TESLA, SCU COMPLEX, FLYNN, EDEN, TRESTLE, BRUNS, DIABLO, TOP, PASS",18
Alpine,"PAYNE, SUMMIT, AIRPORT 2, COTTON, HENRY, MOKELUMNE, SLINK, CALDOR, CLIFF, SLINKARD, WHEATS, DUTCH, TAMARACK, SILVER KING, EAST FORK, DIXON, DONNELL, WASHINGTON, GOLD, IRENE, MCCORMICK",22
Amador,"GOOSE, IRISH, SALT, BELL, HOYA, CALDOR, RANCHO, MIDDLE, STONY, TONZI, LAWRENCE, ELECTRA, CAMANCHE, BUTTE, COPPER FIRE, WILLOW, LAMBERT FIRE, WINTON, COAL, SAND, TIGER",26
Butte,"TEDDY, BTU LIGHTNING COMPLEX, BIGGS, SUMMIT, 1-12, HURLETON, SKYWAY, WEB, HUNGARY, AVOCADO, CENTERVILLE, CRAIG, DENIZ, GARDEN, THIRTY TWO, SHIPPEE, SCOTCH, NINETY-NINE, CONCOW, HIGHWAY, CHEROKEE, SKY, GRIMY, LOVELOCK, CAMP, PINECREST, RAIL, CLARK, RODY, 1-11, BRANCH, JORDAN, 2-28, 1-7, 5-4 POTTERS, CANFIELD, DIXIE, LONE, SWEDES, SIMMONS, EVITA, WALL, CASCADE, MERIDIAN, OLIVE, FOX, FOUR MILE, OREGON, CHINO, PARHAM, SOUTH-FREY, STONEY, PONDEROSA, PARK, VALE, 1-8, SADDLE, FLEA, NINTEY NINE, HUMBOLDT, LITTLE, JAN-DAR, OPHIR, 60 B, SANDRA, FEATHER, JUNES, ELEPHANT, ROCK2, BROWN, HONEY, GUNNISON, BANGOR, FOUR CORNERS, LUMPKIN, SANTOS, GRAND, 5-6 CASCADE CREEK, PALERMO, FRIEND-DARNELL, FORBESTOWN, HONCUT, NELSON, COAL, TREE, POWER, FEATHER FALLS, DARK, NORTH COMPLEX, CEDAR",104
Calaveras,"HORSESHOE, HUNT, SALT, BRIDGE, HORSE, PALOMA, PACHECO, BAKER, GOPHER, SMITTY, CHEYENNE, QUAIL, FARRIS, ROCK, WAVERLY, SOUTH, PARROTTS, RIATA, TELEGRAPH, BUCKSKIN, MARIA, MIDDLE, AIROLA, RAMSEY, EVANS, PENN, BLUE, ELECTRA, MILTON, BUTTE, PRUSSIAN 2, WHISKEY, STAGECOACH, POOL 2 - MAIN, WILLOW, EAST, CAMPO, GOLD, APPALOOSA, BURSON, LYNETTE, MURRAY, HUNTER, POINT, WALKER, FRECCERO",49
Colusa,"OASIS, LEESVILLE, SUMMIT, AUGUST COMPLEX, NAIL, PAWNEE, HILL, BRIM, SITES COMPLEX, RANCH, DELEVAN T28, BEAR, INDIAN, ROCKY, LAKEVIEW, MILL, RUMSEY, SANDS, SIXTEEN COMPLEX, SITES, HENNESSEY, SAND, CANAL, WALKER, 20",27
Contra Costa,"CURRY, KIRKER, DEER, CAMINO, BRICKYARD, MARSH 6, MARSH 5, SCU COMPLEX, SCENIC, DIABLO, HIGHLAND, BARRY, BRADFORD, WILLOW, BRUNS, MORGAN, MARSH 3, PORT, MARSH, FRANKLIN",22
Del Norte,"DEVIL, WILSON BRANCH 1, SUMMIT, REQUA, FORKS, POKER, BLUE 2, TELL, SIGNAL, SHORE, RANCH, NATCHEZ, BEAR, FEEDER, ENDERTS, MILL, OAK, WILSON BRANCH 2, ROWDY, PEAK, PAW, NICKOWITZ, COON, SLATER",24
El Dorado,"GIRARD, KING, BUMPER, SIERRA, CAMERON FIRE, COUNTRY, SHINGLE, HENRY, FORK, EMERALD, CRONAN FIRE, MURPHY FIRE, HORSE, FORNI, CARSON, CAPPS, LONG, CAPLES, MEADOW, BERRY, BOTTLE, MORMON, BLACKSTONE, NOODLES, CALDOR, SALMON, MOSQUITO, FRENCH, TABLE, RANCH, SUGARLOAF, GROOVY, SOLDIER, ONYX, LATROBE, STORKSBILL, OMEGA, VOLCANO, AXEL, SLIGER, BALTIC, FUNKY, GREYHORSE, PAYMASTER, CHAPARRAL, LAKEVIEW, MILL, ALDER, NORTH, COOL, STEINS, ICE, PATTERSON, VINTAGE, KYBURZ, TRAILHEAD, COLD, CASCADE, MYERS, HAZEL, SAND, SETTLERS, UNION, COULTER, MAMMOTH",68
Fresno,"HOUSE, PIEDRA, BULLFROG, CURRY, AUBERY, COALINGA, DUNLAP, GATOS, PUMICE, GEORGE, CREEK, RUSTY, RUTH 2, DERRICK, COW, ROUGH, MADSEN, AVOCADO, TABLE, LANES, NEES, RIDGE, CANYON, TIVY, SUTTER, ENNIS, SLOPE, NORTH GUARD, HOPE, FRONTIER, FLAT, TEHIPITE, SHEPHERD, COBBLE, GOLD, JUNIPER, EDISON, SUNNY, PEBBLE, FISH, SAND, GARZA, JAYNE, HALL, SHAVER, HIGHWAY, SKY, RUTH HILL, LODGE, DEER, TRIMMER, BAKER, MURPHY, SAMPLE, BIG, LOWER TENT MDW, BUBBS CREEK, DAVIS, GREEN, BURNT, FRENCH, SILVER, PALM, SACATA, FRAME, SPRING, SPEARHEAD, FINE, DEWOLF, AVALANCHE, MONTEREY, WARTHAN, MARLAR, EAGLE, MUSIC, TUMEY, FREEDOM, TODD, TRACTOR, ELM, AMERICAN, MORAINE, HALF, WOODS CREEK, PANOCHO, MONO, RUTH, MUD, ARMSTRONG, THERMAL, SYCAMORE, PARK, COVE, PINE, BEAR, CROWN, SHELL, COLDWELL, KINGS, BRYSON, OIL, MINERAL, SHEEP COMPLEX, HILLS, ELEPHANT, PANOCHE, SENTINEL, WARM, SIERRA, GOOSE, WINDY PEAK, HORSE, WOLF, HILL, WEST, PARKFIELD, OWENS, PHELPS, PALMER, LAKE, AUBERRY, BAILY, LOST, FIRESTONE, FRAZIER, BOYDEN 1, ANCHOR, BLUE, SALES, NORTH BUBBS, WATTS, HOG, ALTA, POWER, LOPER, MORGAN, HOTEL, ASPEN, VALLEY",173
