COUNTY_NAME,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alameda,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,9.0
Alpine,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,5.0,0.0
Amador,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,3.0,1.0,1.0,2.0,4.0,2.0
Butte,17.0,2.0,2.0,4.0,3.0,7.0,2.0,7.0,6.0,9.0,6.0,2.0,16.0,3.0,18.0
Calaveras,4.0,2.0,0.0,5.0,4.0,2.0,0.0,1.0,11.0,6.0,7.0,2.0,2.0,2.0,1.0
Colusa,3.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,7.0,1.0,0.0
Contra Costa,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,9.0
Del Norte,4.0,2.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0
El Dorado,8.0,1.0,0.0,9.0,1.0,4.0,3.0,2.0,4.0,10.0,5.0,7.0,4.0,7.0,3.0
Fresno,8.0,7.0,2.0,12.0,11.0,8.0,7.0,5.0,18.0,24.0,16.0,16.0,16.0,14.0,9.0
Glenn,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,5.0,1.0,2.0
Humboldt,13.0,16.0,1.0,3.0,7.0,7.0,6.0,22.0,5.0,6.0,6.0,0.0,6.0,3.0,7.0
Imperial,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0
Inyo,5.0,5.0,3.0,5.0,3.0,3.0,2.0,1.0,5.0,3.0,3.0,1.0,1.0,9.0,3.0
Kern,12.0,24.0,22.0,43.0,56.0,28.0,7.0,6.0,32.0,42.0,23.0,14.0,34.0,38.0,41.0
Kings,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0,0.0
Lake,5.0,2.0,2.0,0.0,4.0,14.0,3.0,9.0,9.0,9.0,9.0,5.0,16.0,9.0,0.0
Lassen,3.0,8.0,6.0,5.0,9.0,2.0,1.0,5.0,2.0,20.0,13.0,13.0,22.0,8.0,6.0
Los Angeles,22.0,25.0,23.0,32.0,32.0,28.0,20.0,44.0,34.0,46.0,27.0,15.0,40.0,32.0,20.0
