County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Duration_Days
Mono,VAN DYKE,2/6/2015,2/10/2015,509,0,0,0,0,5 days,5
Inyo,ROUND,2/6/2015,2/13/2015,7000,43,5,0,0,8 days,8
Riverside,HIGHWAY,4/18/2015,4/24/2015,1049,0,0,0,0,7 days,7
San Diego,CARL,4/28/2015,4/29/2015,4000,0,0,0,0,2 days,2
San Diego,MORTAR,4/28/2015,4/29/2015,800,0,0,0,0,2 days,2
San Diego,GRENADE,4/29/2015,5/5/2015,2025,0,0,0,0,7 days,7
Merced,FOREBAY,5/11/2015,5/12/2015,692,0,0,0,0,2 days,2
Trinity,SADDLE,6/9/2015,6/25/2015,1542,0,0,0,0,17 days,17
Monterey,PEANUT,6/11/2015,6/11/2015,1532,0,0,0,0,1 days,1
San Bernardino,LAKE,6/17/2015,7/5/2015,31359,4,0,0,0,19 days,19
Madera,CORRINE,6/18/2015,6/24/2015,920,2,0,0,0,7 days,7
Madera,SKY,6/18/2015,6/26/2015,500,0,0,0,0,9 days,9
San Luis Obispo,PARKHILL,6/20/2015,6/20/2015,1791,18,3,0,0,1 days,1
Los Angeles,CALGROVE,6/24/2015,6/26/2015,415,0,1,0,0,3 days,3
Sacramento,IONE,7/2/2015,7/5/2015,357,0,0,0,0,4 days,4
Siskiyou,YORK,7/4/2015,7/6/2015,395,0,0,0,0,3 days,3
San Bernardino,NORTH,7/17/2015,7/21/2015,4250,23,5,0,0,5 days,5
Merced,MCCABE,7/18/2015,7/22/2015,1600,0,0,0,0,5 days,5
Tulare,CABIN,7/19/2015,9/5/2015,6980,0,0,0,0,49 days,49
Tulare,TRIPLE 3,7/21/2015,7/21/2015,430,0,0,0,0,1 days,1
Napa,WRAGG,7/22/2015,8/6/2015,8051,2,5,0,0,16 days,16
Nevada,LOWELL,7/25/2015,8/12/2015,2304,3,1,0,0,19 days,19
Madera,WILLOW,7/25/2015,8/15/2015,5702,0,0,0,0,22 days,22
Lake,ROCKY,7/29/2015,8/14/2015,69636,96,8,0,0,17 days,17
Butte,SWEDES,7/29/2015,8/16/2015,400,16,0,0,0,19 days,19
Modoc,FROG,7/30/2015,8/6/2015,4863,0,0,1,0,8 days,8
Humboldt,HUMBOLDT COMPLEX,7/30/2015,8/21/2015,4883,7,0,0,0,23 days,23
Trinity,FORK COMPLEX,7/30/2015,8/29/2015,36499,12,0,0,0,31 days,31
Humboldt,ROUTE COMPLEX,7/30/2015,8/31/2015,35675,2,0,0,0,33 days,33
Trinity,MAD RIVER COMPLEX,7/30/2015,9/3/2015,37462,4,0,0,0,36 days,36
Trinity,RIVER COMPLEX,7/30/2015,10/15/2015,77081,0,0,0,0,78 days,78
Merced,CREEK,7/31/2015,7/31/2015,1450,0,0,0,0,1 days,1
Del Norte,GASQUET COMPLEX,7/31/2015,10/15/2015,30361,0,0,0,0,77 days,77
Fresno,ROUGH,7/31/2015,12/1/2015,151623,4,0,0,0,124 days,124
Del Norte,NICKOWITZ,8/1/2015,9/30/2015,7509,0,0,0,0,61 days,61
Trinity,SOUTH COMPLEX,8/1/2015,10/1/2015,29416,3,0,0,0,62 days,62
Lassen,DODGE,8/3/2015,8/17/2015,10570,0,0,0,0,15 days,15
Lake,JERUSALEM,8/9/2015,8/25/2015,25118,27,0,0,0,17 days,17
Riverside,ANZA,8/10/2015,8/15/2015,500,0,0,0,0,6 days,6
San Diego,HORNO,8/13/2015,8/17/2015,1846,0,0,0,0,5 days,5
Los Angeles,CABIN,8/14/2015,8/20/2015,1723,3,0,0,0,7 days,7
Mono,WALKER,8/14/2015,8/31/2015,3676,0,0,0,0,18 days,18
Los Angeles,WARM,8/16/2015,8/19/2015,300,3,3,0,0,4 days,4
San Luis Obispo,CUESTA,8/16/2015,9/3/2015,2446,1,0,0,0,19 days,19
Kern,DEER,8/18/2015,8/20/2015,311,0,0,0,0,3 days,3
Alameda,TESLA,8/19/2015,8/25/2015,2850,1,0,0,0,7 days,7
