County,Tot_Damage,Year
Butte,24410210.0,2008
Mendocino,621450.0,2008
Santa Clara,203201.0,2008
Siskiyou,16200.0,2008
Riverside,97695477.0,2008
San Bernardino,69601.0,2008
San Diego,71302.0,2008
San Luis Obispo,392260.0,2008
Tulare,93916.0,2008
Santa Clara,202701.0,2008
Butte,6454.0,2009
Mendocino,912470.0,2009
Santa Clara,1500829.0,2009
Siskiyou,15350.0,2009
Riverside,565250.0,2009
San Bernardino,11000.0,2009
San Diego,236815.0,2009
San Luis Obispo,118822.0,2009
Tulare,17962.0,2009
Amador,5000.0,2010
El Dorado,52650.0,2010
Sacramento,3800.0,2010
San Joaquin,0.0,2010
Butte,459854.0,2010
Plumas,0.0,2010
Tehama,0.0,2010
Del Norte,0.0,2010
Humboldt,278870.0,2010
Siskiyou,0.0,2010
Lassen,63080.0,2010
Modoc,1364.0,2010
Plumas,10.0,2010
Mendocino,31710.0,2010
Trinity,0.0,2010
Nevada,16000.0,2010
Placer,37560.0,2010
Sierra,10000.0,2010
Yuba,17500.0,2010
San Mateo,16040.0,2010
Santa Cruz,200951.0,2010
Alameda,264450.0,2010
Santa Clara,5400.0,2010
Shasta,101950.0,2010
Siskiyou,7050.0,2010
Colusa,0.0,2010
Lake,1000.0,2010
Napa,201725.0,2010
Solano,11150.0,2010
Sonoma,340240.0,2010
Yolo,2.0,2010
Glenn,4000.0,2010
Tehama,50400.0,2010
Fresno,302622.0,2010
Kings,0.0,2010
Madera,5340.0,2010
Mariposa,20296.0,2010
Merced,49700.0,2010
Riverside,53475.0,2010
Monterey,27750.0,2010
San Benito,62015.0,2010
Inyo,7500.0,2010
San Bernardino,5800.0,2010
San Diego,35550.0,2010
San Luis Obispo,54268.0,2010
Tulare,57895.0,2010
Calaveras,96763.0,2010
Tuolumne,123502.0,2010
Amador,4200.0,2011
El Dorado,55400.0,2011
Sacramento,0.0,2011
San Joaquin,0.0,2011
Butte,125600.0,2011
Plumas,0.0,2011
Tehama,2500.0,2011
Del Norte,0.0,2011
Humboldt,133938.0,2011
Siskiyou,0.0,2011
Lassen,9916.0,2011
Modoc,1882.0,2011
Plumas,750.0,2011
Mendocino,81012.0,2011
Nevada,30350.0,2011
Placer,55550.0,2011
Sierra,0.0,2011
Sutter,0.0,2011
Yuba,319161.0,2011
San Mateo,0.0,2011
Santa Cruz,13426.0,2011
Alameda,487750.0,2011
Santa Clara,24500.0,2011
Shasta,33600.0,2011
Shasta,0.0,2011
Siskiyou,291402.0,2011
Colusa,13000.0,2011
Lake,534840.0,2011
Napa,754350.0,2011
Solano,3020.0,2011
Sonoma,276401.0,2011
Yolo,35002.0,2011
Glenn,0.0,2011
Tehama,86820.0,2011
Fresno,109085.0,2011
Kings,1200.0,2011
Madera,26145.0,2011
Mariposa,14003.0,2011
Merced,81080.0,2011
Riverside,335600.0,2011
Monterey,165076.0,2011
San Benito,8215.0,2011
Inyo,20007.0,2011
San Bernardino,419810.0,2011
San Diego,341962.0,2011
San Luis Obispo,123200.0,2011
Tulare,76685.0,2011
Calaveras,322326.0,2011
Tuolumne,644582.0,2011
Amador,7200.0,2012
El Dorado,157152.0,2012
Sacramento,260912.0,2012
Butte,436760.0,2012
Tehama,5000.0,2012
Del Norte,108305.0,2012
Humboldt,43000.0,2012
Lassen,422912.0,2012
Modoc,50.0,2012
Plumas,5.0,2012
Mendocino,1271921.0,2012
Nevada,68830.0,2012
Placer,225355.0,2012
Sierra,0.0,2012
Yuba,287200.0,2012
San Mateo,25102.0,2012
Santa Cruz,69670.0,2012
Alameda,17100.0,2012
Contra Costa,17451.0,2012
Santa Clara,4302.0,2012
Shasta,84700.0,2012
Shasta,0.0,2012
Siskiyou,11415.0,2012
Colusa,0.0,2012
Lake,3274740.0,2012
Napa,87603.0,2012
Solano,2512.0,2012
Sonoma,691886.0,2012
Yolo,4.0,2012
Glenn,200.0,2012
Tehama,16489420.0,2012
Fresno,745291.0,2012
Kings,3600.0,2012
Madera,9060.0,2012
Mariposa,80202.0,2012
Merced,4000.0,2012
Riverside,1494451.0,2012
Monterey,444355.0,2012
San Benito,1480.0,2012
Inyo,0.0,2012
San Bernardino,33300.0,2012
San Diego,1011115.0,2012
San Luis Obispo,43800.0,2012
Tulare,8906.0,2012
Calaveras,166265.0,2012
Tuolumne,48893.0,2012
Amador,2050.0,2013
El Dorado,2168563.0,2013
Sacramento,2.0,2013
San Joaquin,1.0,2013
Butte,843776.0,2013
Tehama,0.0,2013
Del Norte,20.0,2013
Humboldt,48505.0,2013
Lassen,5377.0,2013
Modoc,30051.0,2013
Plumas,1274.0,2013
Shasta,1.0,2013
Siskiyou,200.0,2013
Mendocino,314912.0,2013
Nevada,332568.0,2013
Placer,69951.0,2013
Sierra,0.0,2013
Sutter,0.0,2013
Yuba,34257.0,2013
San Mateo,1215.0,2013
Santa Cruz,749518.0,2013
Alameda,142125.0,2013
Contra Costa,112910.0,2013
Santa Clara,13560.0,2013
Shasta,5501893.0,2013
Siskiyou,2400.0,2013
Colusa,1020.0,2013
Lake,404321.0,2013
Napa,102762.0,2013
Solano,327704.0,2013
Sonoma,9366896.0,2013
Yolo,15000.0,2013
Glenn,2500.0,2013
Tehama,346400.0,2013
Fresno,58000.0,2013
Kings,0.0,2013
Madera,12650.0,2013
Mariposa,400.0,2013
Merced,0.0,2013
Riverside,7978346.0,2013
Monterey,3875.0,2013
San Benito,22600.0,2013
Inyo,60350.0,2013
San Bernardino,7326.0,2013
San Diego,277957.0,2013
San Luis Obispo,41050.0,2013
Tulare,30920.0,2013
Calaveras,48644.0,2013
Tuolumne,107172.0,2013
Amador,152901.0,2014
El Dorado,218451.0,2014
Sacramento,52.0,2014
San Joaquin,0.0,2014
Butte,141734.0,2014
Tehama,0.0,2014
Del Norte,20075.0,2014
Humboldt,247101.0,2014
Lassen,756523.0,2014
Modoc,11.0,2014
Plumas,902.0,2014
Shasta,0.0,2014
Siskiyou,0.0,2014
Mendocino,2181483.0,2014
Nevada,618610.0,2014
Placer,1418810.0,2014
Sierra,0.0,2014
Sutter,0.0,2014
Yuba,488905.0,2014
San Mateo,142.0,2014
Santa Cruz,4960.0,2014
Alameda,248252.0,2014
Contra Costa,24277.0,2014
Santa Clara,1551700.0,2014
Shasta,2277210.0,2014
Siskiyou,397400.0,2014
Colusa,0.0,2014
Lake,69255.0,2014
Napa,126015.0,2014
Solano,10500.0,2014
Sonoma,14955.0,2014
Yolo,10302.0,2014
Glenn,100.0,2014
Tehama,52500.0,2014
Fresno,1017700.0,2014
Kings,0.0,2014
Madera,5807684.0,2014
Mariposa,30000.0,2014
Merced,0.0,2014
Riverside,275802.0,2014
Monterey,2180.0,2014
San Benito,1700.0,2014
Inyo,100000.0,2014
San Bernardino,5485.0,2014
San Diego,666154.0,2014
San Luis Obispo,4190.0,2014
Tulare,243754.0,2014
Calaveras,163589.0,2014
Tuolumne,499363.0,2014
Amador,1000000709.0,2015
El Dorado,37127.0,2015
Sacramento,100.0,2015
San Joaquin,0.0,2015
Butte,0.0,2015
Tehama,0.0,2015
Del Norte,500.0,2015
Humboldt,8783968.0,2015
Lassen,2510.0,2015
Modoc,4.0,2015
Plumas,300.0,2015
Shasta,0.0,2015
Siskiyou,0.0,2015
Mendocino,328014.0,2015
Nevada,42402.0,2015
Placer,289354.0,2015
Sierra,0.0,2015
Sutter,0.0,2015
Yuba,252620.0,2015
San Mateo,602.0,2015
Santa Cruz,10007.0,2015
Alameda,1826231.0,2015
Contra Costa,59230.0,2015
Santa Clara,11274.0,2015
Shasta,817321.0,2015
Siskiyou,68906.0,2015
Colusa,6551.0,2015
Lake,2017984089.0,2015
Napa,277310.0,2015
Solano,20340.0,2015
Sonoma,1392000.0,2015
Yolo,67500.0,2015
Glenn,250.0,2015
Tehama,833450.0,2015
Fresno,11675.0,2015
Kings,0.0,2015
Madera,101321.0,2015
Mariposa,1000.0,2015
Merced,701920.0,2015
Riverside,35148.0,2015
Monterey,10005710.0,2015
San Benito,15620.0,2015
Inyo,15819560.0,2015
San Bernardino,66102.0,2015
San Diego,144957.0,2015
San Luis Obispo,1399900.0,2015
Tulare,176768.0,2015
Calaveras,139494.0,2015
Tuolumne,61927.0,2015
Butte,0.0,2016
Mendocino,693434.0,2016
Santa Clara,321468.0,2016
Siskiyou,295712.0,2016
Riverside,3620.0,2016
San Bernardino,629595.0,2016
San Diego,4286760.0,2016
San Luis Obispo,12215711.0,2016
Tulare,8664.0,2016
Alameda,32410.0,2016
Alpine,0.0,2016
Amador,307070.0,2016
Calaveras,405009.0,2016
Colusa,0.0,2016
Contra Costa,11450.0,2016
Del Norte,0.0,2016
El Dorado,231015.0,2016
Fresno,812917.0,2016
Glenn,0.0,2016
Humboldt,1595068.0,2016
Imperial,0.0,2016
Inyo,350.0,2016
Kings,0.0,2016
Lake,105579028.0,2016
Lassen,715300.0,2016
Madera,299925.0,2016
Mariposa,48410.0,2016
Merced,177500.0,2016
Modoc,150004.0,2016
Mono,0.0,2016
Monterey,11222283.0,2016
Napa,300120.0,2016
Nevada,1080921.0,2016
Placer,242200.0,2016
Plumas,0.0,2016
Sacramento,21201.0,2016
San Benito,29602.0,2016
San Bernardino,629245.0,2016
San Francisco,0.0,2016
San Joaquin,1936.0,2016
San Mateo,20200.0,2016
Santa Clara,275222.0,2016
Santa Cruz,8603.0,2016
Shasta,215711.0,2016
Sierra,0.0,2016
Solano,3103.0,2016
Sonoma,665106.0,2016
Stanislaus,8550.0,2016
Sutter,0.0,2016
Tehama,434250.0,2016
Trinity,0.0,2016
Tuolumne,40363.0,2016
Yolo,5001900.0,2016
Yuba,197020.0,2016
Butte,11448706.0,2017
Mendocino,308664.0,2017
Santa Clara,108439.0,2017
Siskiyou,146800.0,2017
Riverside,315015.0,2017
San Bernardino,33361.0,2017
San Diego,18054.0,2017
San Luis Obispo,3765125.0,2017
Tulare,24105.0,2017
Alameda,14101.0,2017
Alpine,0.0,2017
Amador,11957.0,2017
Calaveras,240963.0,2017
Colusa,0.0,2017
Contra Costa,8028.0,2017
Del Norte,13002.0,2017
El Dorado,2366816.0,2017
Fresno,415700.0,2017
Glenn,0.0,2017
Humboldt,14771.0,2017
Imperial,0.0,2017
Inyo,5000.0,2017
Kings,0.0,2017
Lake,35412565.0,2017
Lassen,2655.0,2017
Madera,2864170.0,2017
Mariposa,40242411.0,2017
Merced,23200.0,2017
Modoc,109236.0,2017
Mono,0.0,2017
Monterey,555677.0,2017
Napa,4000886621.0,2017
Nevada,4000063130.0,2017
Placer,2332232.0,2017
Plumas,306.0,2017
Sacramento,150.0,2017
San Benito,53300.0,2017
San Bernardino,28361.0,2017
San Francisco,0.0,2017
San Joaquin,26219.0,2017
San Mateo,1900.0,2017
Santa Clara,73510.0,2017
Santa Cruz,1142615.0,2017
Shasta,3133700.0,2017
Sierra,0.0,2017
Solano,1501000.0,2017
Sonoma,2005343853.0,2017
Stanislaus,13520.0,2017
Sutter,0.0,2017
Tehama,498670.0,2017
Trinity,1508.0,2017
Tuolumne,587336.0,2017
Yolo,20100000.0,2017
Yuba,2001011250.0,2017
Mendocino,30763211.0,2018
Santa Clara,3220947.0,2018
Siskiyou,5903209.0,2018
Riverside,115605.0,2018
San Bernardino,89000.0,2018
San Diego,661802.0,2018
San Luis Obispo,64793.0,2018
Tulare,357026.0,2018
Alameda,155477.0,2018
Alpine,0.0,2018
Amador,1091200.0,2018
Calaveras,144110.0,2018
Colusa,275000.0,2018
Contra Costa,2612150.0,2018
Del Norte,9500.0,2018
El Dorado,1968103.0,2018
Fresno,111401.0,2018
Glenn,810500.0,2018
Humboldt,1337883.0,2018
Imperial,0.0,2018
Inyo,2000.0,2018
Kings,0.0,2018
Lake,7182249.0,2018
Lassen,1476777.0,2018
Madera,300282.0,2018
Mariposa,194400.0,2018
Merced,1368100.0,2018
Modoc,2403.0,2018
Mono,0.0,2018
Monterey,221912.0,2018
Napa,6639852.0,2018
Nevada,1837232.0,2018
Placer,2582101.0,2018
Plumas,1002.0,2018
Sacramento,2.0,2018
San Benito,74060.0,2018
San Bernardino,87000.0,2018
San Francisco,0.0,2018
San Joaquin,3545100.0,2018
San Mateo,501.0,2018
Santa Clara,435220.0,2018
Santa Cruz,1017500.0,2018
Shasta,2001632823.0,2018
Sierra,0.0,2018
Solano,803800.0,2018
Sonoma,179486.0,2018
Stanislaus,40500.0,2018
Sutter,0.0,2018
Tehama,7227100.0,2018
Trinity,71300.0,2018
Tuolumne,63896.0,2018
Yolo,6500.0,2018
Yuba,491300.0,2018
Butte,175501.0,2019
Mendocino,108800.0,2019
Santa Clara,844021.0,2019
Siskiyou,211500.0,2019
Riverside,496090.0,2019
San Bernardino,158900.0,2019
San Diego,371100.0,2019
San Luis Obispo,4876280.0,2019
Tulare,362717.0,2019
Alameda,96100.0,2019
Alpine,0.0,2019
Amador,82201.0,2019
Calaveras,1104399.0,2019
Colusa,80000.0,2019
Contra Costa,234970.0,2019
Del Norte,5000.0,2019
El Dorado,3041902.0,2019
Fresno,53530.0,2019
Glenn,160950.0,2019
Humboldt,26701.0,2019
Imperial,0.0,2019
Inyo,0.0,2019
Kings,1256.0,2019
Lake,212965.0,2019
Lassen,6320.0,2019
Madera,20580.0,2019
Mariposa,261852.0,2019
Merced,146600.0,2019
Modoc,502.0,2019
Mono,0.0,2019
Monterey,39951.0,2019
Napa,31875.0,2019
Nevada,329550.0,2019
Placer,133020.0,2019
Plumas,1500.0,2019
Sacramento,23000.0,2019
San Benito,2570.0,2019
San Francisco,0.0,2019
San Joaquin,18480.0,2019
San Mateo,100000.0,2019
Santa Clara,456275.0,2019
Santa Cruz,16406.0,2019
Shasta,4686340.0,2019
Sierra,0.0,2019
Solano,8601.0,2019
Sonoma,383902720.0,2019
Stanislaus,104284.0,2019
Sutter,0.0,2019
Tehama,1220000.0,2019
Trinity,17300.0,2019
Tuolumne,145750.0,2019
Yolo,4200.0,2019
Yuba,503701.0,2019
Butte,38209457.0,2020
Mendocino,1505832.0,2020
Santa Clara,2989562.0,2020
Siskiyou,117483850.0,2020
Riverside,380024372.0,2020
San Bernardino,1049225.0,2020
San Diego,8066503.0,2020
San Luis Obispo,577022.0,2020
Tulare,1043373.0,2020
Alameda,101020955.0,2020
Alpine,0.0,2020
Amador,19300.0,2020
Butte,8209457.0,2020
Calaveras,834351.0,2020
Colusa,140500.0,2020
Del Norte,0.0,2020
El Dorado,1090562.0,2020
Fresno,380024372.0,2020
Glenn,4244900.0,2020
Humboldt,944850.0,2020
Imperial,0.0,2020
Inyo,4.0,2020
Kings,0.0,2020
Lake,82183550.0,2020
Lassen,1503732.0,2020
Madera,34923990.0,2020
Mariposa,670500.0,2020
Mendocino,246704.0,2020
Merced,11765.0,2020
Modoc,100.0,2020
Mono,0.0,2020
Monterey,70490.0,2020
Napa,1129079102.0,2020
Nevada,152362.0,2020
Placer,311400.0,2020
Plumas,30002000.0,2020
Riverside,8066503.0,2020
Sacramento,1533500.0,2020
San Benito,309305.0,2020
San Diego,1049225.0,2020
San Francisco,0.0,2020
San Joaquin,70131020.0,2020
San Mateo,3000100.0,2020
Santa Clara,304571052.0,2020
Santa Cruz,2000100.0,2020
Shasta,50761750.0,2020
Sierra,0.0,2020
Siskiyou,686650.0,2020
Solano,224590500.0,2020
Sonoma,1302549765.0,2020
Stanislaus,69175400.0,2020
Sutter,0.0,2020
Tehama,2500556.0,2020
Trinity,66722100.0,2020
Tulare,278541759.0,2020
Tuolumne,189002.0,2020
Yolo,9520500.0,2020
Yuba,2525800.0,2020
Butte,2086251.0,2021
Mendocino,739052.0,2021
Santa Clara,45507.0,2021
Siskiyou,408550.0,2021
Riverside,2598441.0,2021
San Bernardino,2329300.0,2021
San Diego,1508303.0,2021
San Luis Obispo,9606.0,2021
Tulare,98750.0,2021
Alameda,11335.0,2021
Alpine,0.0,2021
Amador,386100.0,2021
Butte,86251.0,2021
Calaveras,347503.0,2021
Colusa,0.0,2021
Contra Costa,21322.0,2021
Del Norte,0.0,2021
El Dorado,397229208.0,2021
Fresno,192405.0,2021
Glenn,0.0,2021
Humboldt,254222.0,2021
Imperial,0.0,2021
Inyo,103400.0,2021
Kings,0.0,2021
Lake,1389704.0,2021
Lassen,445601.0,2021
Madera,200650.0,2021
Mariposa,18670.0,2021
Merced,16470.0,2021
Modoc,50200.0,2021
Mono,0.0,2021
Monterey,112020.0,2021
Napa,10101.0,2021
Nevada,720900.0,2021
Placer,61636121.0,2021
Plumas,2003500.0,2021
Sacramento,3200.0,2021
San Benito,368564.0,2021
San Bernardino,2225900.0,2021
San Francisco,0.0,2021
San Joaquin,22099.0,2021
San Mateo,3000.0,2021
Santa Clara,12750.0,2021
Santa Cruz,39850.0,2021
Shasta,31358970.0,2021
Sierra,0.0,2021
Solano,0.0,2021
Sonoma,443400.0,2021
Stanislaus,114501.0,2021
Sutter,0.0,2021
Tehama,1263355.0,2021
Trinity,920000.0,2021
Tuolumne,142405.0,2021
Yolo,124000.0,2021
Yuba,2003400.0,2021
Butte,162325.0,2022
Mendocino,157454.0,2022
Santa Clara,286804.0,2022
Siskiyou,75028260.0,2022
Riverside,174329.0,2022
San Bernardino,9436004.0,2022
San Diego,918452.0,2022
San Luis Obispo,428400.0,2022
Tulare,27868.0,2022
Alameda,39300.0,2022
Alpine,0.0,2022
Amador,2243650.0,2022
Calaveras,1278305.0,2022
Colusa,200000.0,2022
Contra Costa,21000.0,2022
Del Norte,2.0,2022
El Dorado,483741.0,2022
Fresno,109250.0,2022
Glenn,72800.0,2022
Humboldt,12106.0,2022
Imperial,0.0,2022
Inyo,9254002.0,2022
Kings,0.0,2022
Lake,288003.0,2022
Lassen,7100.0,2022
Madera,449300.0,2022
Mariposa,200063640.0,2022
Merced,26200.0,2022
Modoc,10000.0,2022
Mono,0.0,2022
Monterey,1241050.0,2022
Napa,82431.0,2022
Nevada,1931015.0,2022
Placer,45510.0,2022
Plumas,0.0,2022
Sacramento,188500.0,2022
San Benito,1007220.0,2022
San Bernardino,182002.0,2022
San Francisco,0.0,2022
San Joaquin,130050.0,2022
San Mateo,6101.0,2022
Santa Clara,130304.0,2022
Santa Cruz,10641.0,2022
Shasta,1223802.0,2022
Sierra,0.0,2022
Solano,339002.0,2022
Sonoma,371255.0,2022
Stanislaus,133500.0,2022
Sutter,0.0,2022
Tehama,1122164.0,2022
Trinity,80900.0,2022
Tuolumne,774870.0,2022
Yolo,1500.0,2022
Yuba,3184500.0,2022
