Year,Month,total_fires,total_acres,avg_duration,total_deaths
2015,2,2,7509.0,0.0,0
2015,4,4,7874.0,0.0,0
2015,5,1,692.0,0.0,0
2015,6,7,38059.0,0.0,0
2015,7,20,480002.0,0.0,1
2015,8,12,86265.0,0.0,0
2015,9,6,150176.0,0.0,6
2015,10,2,1550.0,0.0,0
2015,12,1,1288.0,0.0,0
2016,5,3,11464.0,0.0,0
2016,6,18,92359.0,0.0,5
2016,7,11,184333.0,0.0,2
2016,8,21,212404.0,0.0,0
2016,9,12,33191.0,0.0,1
2016,10,4,10309.0,0.0,0
2016,11,1,2768.0,0.0,0
2017,4,4,7033.0,0.0,0
2017,5,5,14781.0,0.0,0
2017,6,17,36965.0,0.0,0
2017,7,31,406918.0,0.0,0
2017,8,28,349608.0,0.0,1
2017,9,14,53780.0,0.0,0
2017,10,18,239833.0,0.0,44
2017,11,1,370.0,0.0,0
2017,12,6,308371.0,0.0,2
2018,2,1,2070.0,0.0,0
2018,4,1,1065.0,0.0,0
2018,5,4,3617.0,0.0,0
2018,6,17,150014.0,0.0,0
2018,7,24,871654.0,0.0,11
2018,8,14,161662.0,0.0,0
2018,9,8,73396.0,0.0,0
2018,10,6,15313.0,0.0,0
2018,11,3,254666.0,0.0,88
2019,3,1,560.0,0.0,0
2019,5,3,4066.0,0.0,0
2019,6,10,13406.0,0.0,0
2019,7,6,22641.0,0.0,0
2019,8,11,11781.0,0.0,0
2019,9,11,91689.0,0.0,0
2019,10,16,117195.0,0.0,3
2019,11,3,5968.0,0.0,0
