County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
MARIPOSA,WAWONA NW,2008-04-09,2008-04-19,"1,130",0,0,11,0,0
TULARE,CLOVER,2008-05-28,2008-07-20,"15,300",0,0,54,0,0
KERN,GRAPEVINE,2008-06-06,2008-06-08,507,0,0,3,0,0
MENDOCINO,Jack Smith Lightning,2008-06-21,2008-07-13,"3,000",0,0,23,0,0
TEHAMA,ANTELOPE,2008-06-22,2008-06-26,600,0,0,5,0,0
LASSEN,Corral,2008-06-23,2008-07-07,"12,500",0,0,15,0,0
SANTA BARBARA,GAP,2008-07-01,2008-07-28,"9,443",0,0,28,0,0
MENDOCINO,Jack Smith Lightning,2008-07-04,2008-07-15,"2,000",0,0,12,0,0
SISKIYOU,SLINKARD,2008-08-17,2008-08-21,374,0,0,5,0,0
SHASTA,GULCH,2008-09-07,2008-09-11,"2,847",0,0,5,0,0
TULARE,HIDDEN,2008-09-10,2008-09-30,"3,668",0,0,21,0,0
SAN DIEGO,ROBLAR,2008-09-25,2008-09-29,400,0,0,5,0,0
MARIPOSA,WAWONA NW,2008-10-14,2008-10-19,450,0,0,6,0,0
TULARE,LION,2009-06-30,2009-08-21,"2,577",0,0,53,0,0
TULARE,GRANITE,2009-06-30,2009-08-21,"1,417",0,0,53,0,0
SAN DIEGO,YANKEE,2009-07-11,2009-07-14,"2,200",0,0,4,0,0
INYO,FORK,2009-07-18,2009-07-27,"3,268",0,0,10,0,0
SISKIYOU,TENNANT,2009-07-19,2009-07-27,"3,226",0,0,9,0,0
MONTEREY,PONDEROSA,2009-08-01,2009-08-07,458,0,0,7,0,0
SAN JOAQUIN,Corral,2009-08-13,2009-08-16,"12,200",0,0,4,0,0
SAN DIEGO,RIDGE,2009-08-26,2009-08-29,500,0,0,4,0,0
RIVERSIDE,COTTONWOOD,2009-08-27,2009-08-31,"2,409",0,0,5,0,0
PLUMAS,SILVER,2009-09-19,2009-09-21,307,0,0,3,0,0
SANTA BARBARA,HIGHWAY,2009-10-01,2009-10-03,617,0,0,3,0,0
SAN BERNARDINO,SHEEP,2009-10-03,2009-10-10,"7,128",0,0,8,0,0
STANISLAUS,STUHR,2010-06-08,2010-06-10,586,0,0,3,0,0
FRESNO,SHEEP,2010-07-16,2010-10-25,"9,020",0,0,102,0,0
KERN,INDIAN,2010-07-18,2010-07-24,"1,822",0,0,7,0,0
KERN,WEST,2010-07-27,2010-08-06,"1,658",0,0,11,50,13
LOS ANGELES,CROWN,2010-07-29,2010-08-03,"14,000",0,0,6,10,6
PLACER,BASELINE,2010-08-20,2010-08-21,434,0,0,2,0,0
LAKE,INDIAN,2010-08-24,2010-08-26,450,0,0,3,0,0
KERN,CANYON,2010-09-12,2010-09-19,"9,820",0,0,8,1,0
MONTEREY,METZ,2011-05-12,2011-05-14,832,0,0,3,0,0
KERN,ANTELOPE,2011-06-19,2011-06-21,"5,200",0,0,3,2,0
STANISLAUS,EASTMAN,2011-06-24,2011-06-24,330,0,0,1,0,0
SAN LUIS OBISPO,HIGHWAY,2011-06-24,2011-06-24,387,0,0,1,0,0
HUMBOLDT,SPANISH,2011-07-01,2011-07-04,498,0,0,4,0,0
TULARE,LION,2011-07-08,2011-11-08,"20,500",0,0,124,0,0
TULARE,GRANITE,2011-07-09,2011-07-12,780,0,0,4,7,0
ALAMEDA,FLYNN,2011-07-14,2011-07-14,500,0,0,1,0,0
ALAMEDA,FLYNN,2011-07-21,2011-07-22,545,0,0,2,0,0
