Year,County,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Unique_Fire_Days,Total_Fires
2008,BUTTE,91266,0,0,0,0,83,56,14
2008,FRESNO,13973,0,0,0,0,121,119,4
2008,HUMBOLDT,49635,0,0,0,0,208,88,5
2008,KERN,37845,0,0,0,0,33,31,3
2008,LAKE,12032,0,0,0,0,46,37,3
2008,LASSEN,35568,0,0,0,0,65,30,4
2008,LOS ANGELES,31863,0,0,0,0,34,30,5
2008,MADERA,42680,0,0,0,0,78,74,6
2008,MARIN,303,0,0,0,0,3,3,1
2008,MARIPOSA,2741,0,0,0,0,29,29,3
2008,MENDOCINO,63065,0,0,0,0,405,43,32
2008,MONO,347,0,0,0,0,6,6,1
2008,MONTEREY,260465,0,0,0,0,105,85,3
2008,NEVADA,1000,0,0,0,0,3,3,1
2008,PLACER,20541,0,0,0,0,40,40,1
2008,PLUMAS,53792,0,0,0,0,115,102,2
2008,RIVERSIDE,31498,0,0,0,0,16,16,3
2008,SACRAMENTO,6400,0,0,0,0,3,3,1
2008,SAN BENITO,4270,0,0,0,0,6,6,2
2008,SAN BERNARDINO,1360,0,0,0,0,10,10,3
2008,SAN DIEGO,5826,0,0,0,0,12,12,3
2008,SAN MATEO,1450,0,0,0,0,31,20,3
2008,SANTA BARBARA,11383,0,0,0,0,33,33,2
2008,SANTA CLARA,5020,0,0,0,0,29,29,2
2008,SHASTA,94368,0,0,0,0,543,69,21
2008,SISKIYOU,199312,0,0,2,0,112,101,3
2008,SONOMA,20811,0,0,0,0,147,128,5
2008,TEHAMA,25394,0,0,0,0,36,24,5
2008,TRINITY,204520,0,0,9,0,138,82,2
2008,TULARE,22243,0,0,0,0,100,95,7
2008,TUOLUMNE,5154,0,0,0,0,63,63,3
2008,YUBA,4254,0,0,0,0,25,25,1
2009,CALAVERAS,410,0,0,0,0,1,1,1
2009,GLENN,550,0,0,0,0,2,2,1
2009,HUMBOLDT,3800,0,0,0,0,11,11,1
2009,INYO,3268,0,0,0,0,10,10,1
2009,KERN,690,0,0,0,0,1,1,1
2009,LAKE,1500,0,0,0,0,6,6,1
2009,LASSEN,2453,0,0,0,0,7,7,2
2009,LOS ANGELES,163044,0,0,2,0,65,56,3
2009,MADERA,300,0,0,0,0,3,3,1
2009,MARIPOSA,10432,0,0,0,0,88,88,2
2009,MONTEREY,10278,0,0,0,0,17,14,3
2009,PLACER,961,0,0,0,0,6,6,2
2009,PLUMAS,752,0,0,0,0,19,19,2
2009,RIVERSIDE,3757,0,0,0,0,18,17,4
2009,SAN BERNARDINO,10439,0,0,0,0,30,25,5
2009,SAN DIEGO,2700,0,0,0,0,8,8,2
