Year,total_fires,total_acres,average_yearly_duration,total_deaths,Tot_Damage
2008,150,3135375.0,14,44,222463722.0
2009,44,607371.0,11,6,5251621.0
2010,29,134862.0,15,0,3084232.0
2011,38,150087.0,16,0,6063346.0
2012,26,499471.0,16,0,28165425.0
2013,33,1120262.0,14,0,29591023.0
2014,44,1065449.0,14,0,19850727.0
2015,53,2277654.0,15,14,3061793771.0
2016,78,1211302.0,13,16,166721857.0
2017,106,1981583.0,15,4,12151294171.0
2018,54,3246100.0,13,199,2125040961.0
2019,51,312225.0,13,0,411647148.0
2020,125,12994819.0,20,99,4725058729.0
2021,98,9696610.0,16,0,519467539.0
2022,22,269089.0,10,0,0.0
