Year,County,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Unique_Fire_Days,Total_Fires
2015,Alameda,2850,1,0,0,0,7.0,7,1
2015,Amador,70868,965,0,0,2,45.0,45,1
2015,Butte,2300,16,0,0,0,32.0,32,3
2015,Del Norte,37870,0,0,0,0,138.0,77,2
2015,Fresno,151623,4,0,0,0,124.0,124,1
2015,Humboldt,40558,9,0,0,0,56.0,33,2
2015,Inyo,7000,43,5,0,0,8.0,8,1
2015,Kern,311,0,0,0,0,3.0,3,1
2015,Lake,171521,123,101,0,4,73.0,67,4
2015,Lassen,10570,0,0,0,0,15.0,15,1
2015,Los Angeles,2438,6,4,0,0,14.0,10,3
2015,Madera,7122,2,0,0,0,38.0,31,3
2015,Mariposa,415,0,0,0,0,10.0,10,1
2015,Merced,3742,0,0,0,0,8.0,8,3
2015,Modoc,4863,0,0,1,0,8.0,8,1
2015,Mono,4185,0,0,0,0,23.0,23,2
2015,Monterey,2618,20,1,0,0,12.0,12,2
2015,Napa,8051,2,5,0,0,16.0,16,1
2015,Nevada,2304,3,1,0,0,19.0,19,1
2015,Riverside,1549,0,0,0,0,13.0,13,2
2015,Sacramento,357,0,0,0,0,4.0,4,1
2015,San Benito,690,0,0,0,0,5.0,5,1
2015,San Bernardino,35609,27,5,0,0,24.0,24,2
2015,San Diego,8671,0,0,0,0,16.0,13,4
2015,San Luis Obispo,4237,19,3,0,0,20.0,20,2
2015,Siskiyou,395,0,0,0,0,3.0,3,1
2015,Trinity,182000,19,0,0,0,224.0,95,5
2015,Tulare,7410,0,0,0,0,50.0,49,2
2015,Ventura,1288,0,0,0,0,4.0,4,1
2016,Alpine,655,0,0,0,0,33.0,33,1
2016,Butte,1320,3,0,0,0,25.0,25,2
2016,Calaveras,1101,3,1,0,0,29.0,25,3
2016,Fresno,15135,11,1,0,0,83.0,72,5
2016,Humboldt,599,3,0,0,0,19.0,19,1
2016,Inyo,369,0,0,0,0,9.0,9,1
2016,Kern,80891,292,12,0,2,84.0,58,7
2016,Lake,3929,300,28,0,0,22.0,22,1
2016,Lassen,2575,7,0,0,0,32.0,32,1
2016,Los Angeles,48347,125,23,0,2,63.0,47,5
2016,Mariposa,1001,0,0,0,0,128.0,128,1
2016,Merced,1246,0,0,0,0,2.0,2,1
2016,Modoc,3102,0,0,0,0,50.0,50,2
2016,Mono,8916,5,0,0,0,49.0,49,3
2016,Monterey,145399,69,5,1,0,122.0,104,5
2016,Placer,5645,0,0,0,0,48.0,48,1
2016,Riverside,1470,1,0,0,0,7.0,7,1
2016,Sacramento,372,0,0,0,0,3.0,3,1
2016,San Bernardino,44384,321,8,0,0,34.0,33,2
2016,San Diego,8854,16,3,0,2,20.0,20,2
2016,San Luis Obispo,51950,70,8,0,0,32.0,32,3
2016,Santa Barbara,52822,10,0,1,0,46.0,46,3
2016,Santa Clara,4474,28,1,0,0,44.0,44,1
2016,Shasta,303,1,1,0,0,2.0,2,1
2016,Siskiyou,37437,24,1,0,0,157.0,118,3
2016,Sonoma,1547,0,0,0,0,7.0,7,1
2016,Tehama,785,0,0,0,0,8.0,8,2
2016,Tulare,12696,0,0,0,0,101.0,59,6
2016,Tuolumne,1080,0,0,0,0,9.0,9,1
2016,Ventura,2304,0,0,0,0,18.0,18,1
2016,Yolo,5731,2,0,0,0,11.0,11,1
2016,Yuba,389,0,0,0,0,2.0,2,1
2017,Butte,24700,226,13,0,0,130.0,97,4
2017,Del Norte,21377,0,0,0,0,70.0,70,1
2017,El Dorado,426,0,0,0,0,40.0,40,1
2017,Fresno,19300,4,0,0,0,31.0,31,7
2017,Jackson (OR),39716,0,0,0,0,109.0,109,1
2017,Kern,8044,0,0,0,0,30.0,30,8
2017,Kings,48660,1,0,0,0,17.0,17,1
2017,Lake,2207,162,8,0,0,18.0,18,1
2017,Lassen,90635,8,3,0,0,23.0,23,3
2017,Los Angeles,30894,144,100,0,0,67.0,44,6
2017,Madera,16659,19,5,1,0,53.0,35,6
2017,Marin,1660,3,1,0,0,4.0,4,1
2017,Mariposa,95754,134,21,0,0,258.0,147,4
2017,Mendocino,37423,544,41,0,9,22.0,22,2
2017,Merced,1733,0,0,0,0,2.0,2,1
2017,Modoc,93014,1,0,0,0,75.0,51,7
2017,Mono,9695,0,0,0,0,22.0,22,3
2017,Monterey,3788,0,1,0,0,9.0,9,2
2017,Napa,96714,783,437,1,27,68.0,24,3
2017,Nevada,2036,61,5,0,0,44.0,30,4
2017,Orange,11879,25,62,0,0,18.0,18,2
2017,Plumas,5768,0,0,0,0,79.0,76,3
2017,Riverside,14725,3,48,0,0,35.0,32,7
2017,Sacramento,1268,0,0,0,0,3.0,3,1
2017,San Bernardino,2958,1,0,0,0,31.0,28,4
2017,San Diego,8879,157,64,0,0,28.0,25,6
2017,San Luis Obispo,31103,24,1,0,0,21.0,18,4
2017,Santa Barbara,18874,40,7,0,0,96.0,90,2
2017,Santa Cruz,391,6,0,0,0,14.0,14,1
2017,Shasta,900,0,0,0,0,23.0,23,1
2017,Siskiyou,172678,2,0,0,0,243.0,108,5
2017,Sonoma,65630,6,174,0,3,70.0,24,3
2017,Trinity,39619,131,0,0,0,123.0,85,3
2017,Tulare,77141,2,0,0,0,170.0,161,7
2017,Tuolumne,7672,1,0,0,0,209.0,125,3
2017,Washoe (NV),19207,0,0,0,0,22.0,22,2
2017,Yolo,1700,0,0,0,0,9.0,9,1
2017,Yuba,10939,264,10,0,4,13.0,13,2
2018,Alameda,480,1,0,0,0,2.0,2,1
2018,Amador,825,1,1,0,0,4.0,4,1
2018,Butte,155346,0,754,0,85,68.0,63,4
2018,El Dorado,316,0,0,0,0,2.0,2,1
2018,Glenn,2290,1,0,0,0,14.0,14,1
2018,Humboldt,3674,0,0,0,0,15.0,15,1
2018,Inyo,6076,0,0,0,0,30.0,30,3
2018,Kern,3883,0,0,0,0,7.0,7,2
2018,Lake,15180,22,6,0,0,16.0,16,1
2018,Lassen,19732,4,0,0,0,18.0,18,3
